Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000120 , 2.048000
0.020000 , 0.000190 , 2.075200
0.030000 , 0.000321 , 2.120800
0.040000 , 0.000379 , 2.142400
0.050000 , 0.000583 , 2.217600
0.060000 , 0.000740 , 2.272000
0.070000 , 0.000852 , 2.304800
0.080000 , 0.001003 , 2.348800
0.090000 , 0.001335 , 2.479200
0.100000 , 0.001444 , 2.492000
0.110000 , 0.001498 , 2.507200
0.120000 , 0.001784 , 2.605600
0.130000 , 0.002314 , 2.734400
0.140000 , 0.002380 , 2.772800
0.150000 , 0.002731 , 2.848800
0.160000 , 0.002943 , 2.921600
0.170000 , 0.003176 , 2.988800
0.180000 , 0.003599 , 3.068800
0.190000 , 0.003980 , 3.175200
0.200000 , 0.004487 , 3.269600
0.210000 , 0.005788 , 3.636000
0.220000 , 0.005722 , 3.621600
0.230000 , 0.006350 , 3.724000
0.240000 , 0.006997 , 3.871200
0.250000 , 0.008072 , 4.076800
0.260000 , 0.008944 , 4.190400
0.270000 , 0.010338 , 4.442400
0.280000 , 0.011318 , 4.653600
0.290000 , 0.012676 , 4.886400
0.300000 , 0.014029 , 5.113600
0.310000 , 0.016682 , 5.514400
0.320000 , 0.018897 , 5.853600
0.330000 , 0.021205 , 6.191200
0.340000 , 0.024988 , 6.695200
0.350000 , 0.030422 , 7.396800
0.360000 , 0.034508 , 7.886400
0.370000 , 0.041556 , 8.696000
0.380000 , 0.047192 , 9.268000
0.390000 , 0.055695 , 10.068000
0.400000 , 0.065833 , 11.017600
0.410000 , 0.073207 , 11.614400
0.420000 , 0.090330 , 12.940800
0.430000 , 0.108463 , 14.274400
0.440000 , 0.139956 , 16.202400
0.450000 , 0.157871 , 17.107200
0.460000 , 0.201740 , 19.948800
0.470000 , 0.233029 , 21.260800
0.480000 , 0.274783 , 23.299200
0.490000 , 0.320168 , 24.571200
0.500000 , 0.360265 , 25.770400
0.510000 , 0.412744 , 27.054400
0.520000 , 0.489696 , 29.806400
0.530000 , 0.534997 , 30.386400
0.540000 , 0.591316 , 31.486400
0.550000 , 0.637925 , 31.749600
0.560000 , 0.701037 , 32.644000
0.570000 , 0.734761 , 31.838400
0.580000 , 0.761987 , 31.570400
0.590000 , 0.810284 , 31.421600
0.600000 , 0.825520 , 29.784000
0.610000 , 0.866149 , 29.728000
0.620000 , 0.882011 , 28.786400
0.630000 , 0.899386 , 28.148000
0.640000 , 0.912064 , 27.671200
0.650000 , 0.917782 , 26.433600
0.660000 , 0.938767 , 26.116800
0.670000 , 0.942402 , 25.570400
0.680000 , 0.949317 , 24.947200
0.690000 , 0.959368 , 24.655200
0.700000 , 0.964535 , 24.357600
0.710000 , 0.968108 , 23.940800
0.720000 , 0.975052 , 23.736800
0.730000 , 0.979134 , 23.375200
0.740000 , 0.983475 , 23.274400
0.750000 , 0.977305 , 23.004800
0.760000 , 0.988764 , 22.889600
0.770000 , 0.987605 , 22.732000
0.780000 , 0.990366 , 22.638400
0.790000 , 0.992026 , 22.517600
0.800000 , 0.993606 , 22.490400
0.810000 , 0.995120 , 22.404800
0.820000 , 0.996714 , 22.375200
0.830000 , 0.997341 , 22.271200
0.840000 , 0.996128 , 22.215200
0.850000 , 0.997546 , 22.185600
0.860000 , 0.998627 , 22.191200
0.870000 , 0.998089 , 22.125600
0.880000 , 0.998394 , 22.093600
0.890000 , 0.997809 , 22.032800
0.900000 , 0.999559 , 22.060800
0.910000 , 0.999651 , 22.060800
0.920000 , 0.999723 , 22.032000
0.930000 , 0.999878 , 22.028800
0.940000 , 0.999928 , 22.015200
0.950000 , 0.999944 , 22.013600
0.960000 , 0.999948 , 22.011200
0.970000 , 0.999990 , 22.010400
0.980000 , 0.999992 , 22.005600
0.990000 , 0.999996 , 22.000000
1.000000 , 1.000000 , 22.000000
Firestarter took 6.802801

