Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000000 , 2.000000
0.020000 , 0.000032 , 2.051200
0.030000 , 0.000064 , 2.102400
0.040000 , 0.000111 , 2.177600
0.050000 , 0.000147 , 2.233600
0.060000 , 0.000206 , 2.305600
0.070000 , 0.000133 , 2.211200
0.080000 , 0.000412 , 2.609600
0.090000 , 0.000239 , 2.382400
0.100000 , 0.000431 , 2.606400
0.110000 , 0.000390 , 2.502400
0.120000 , 0.000523 , 2.683200
0.130000 , 0.000264 , 2.368000
0.140000 , 0.000546 , 2.772800
0.150000 , 0.000724 , 2.971200
0.160000 , 0.000727 , 2.883200
0.170000 , 0.000988 , 3.227200
0.180000 , 0.001156 , 3.288000
0.190000 , 0.000602 , 2.753600
0.200000 , 0.001423 , 3.697600
0.210000 , 0.001012 , 3.065600
0.220000 , 0.001766 , 3.812800
0.230000 , 0.001813 , 3.952000
0.240000 , 0.001839 , 3.851200
0.250000 , 0.002909 , 4.718400
0.260000 , 0.002353 , 4.488000
0.270000 , 0.002350 , 4.568000
0.280000 , 0.001905 , 4.036800
0.290000 , 0.002536 , 4.680000
0.300000 , 0.004534 , 5.777600
0.310000 , 0.003529 , 5.579200
0.320000 , 0.005286 , 6.494400
0.330000 , 0.003805 , 5.601600
0.340000 , 0.006833 , 6.742400
0.350000 , 0.007152 , 7.332800
0.360000 , 0.007513 , 7.358400
0.370000 , 0.005402 , 6.497600
0.380000 , 0.010406 , 8.851200
0.390000 , 0.018196 , 11.107200
0.400000 , 0.018644 , 12.292800
0.410000 , 0.025210 , 13.987200
0.420000 , 0.034981 , 16.804800
0.430000 , 0.044010 , 19.496000
0.440000 , 0.057253 , 20.259200
0.450000 , 0.069976 , 23.347200
0.460000 , 0.114507 , 31.948800
0.470000 , 0.166661 , 38.075200
0.480000 , 0.221953 , 44.574400
0.490000 , 0.225943 , 46.958400
0.500000 , 0.286955 , 48.753600
0.510000 , 0.423721 , 61.364800
0.520000 , 0.485025 , 68.371200
0.530000 , 0.588431 , 70.123200
0.540000 , 0.659242 , 61.473600
0.550000 , 0.729216 , 63.281600
0.560000 , 0.774839 , 61.465600
0.570000 , 0.831872 , 65.640000
0.580000 , 0.866636 , 54.852800
0.590000 , 0.842618 , 52.739200
0.600000 , 0.896787 , 55.364800
0.610000 , 0.861972 , 49.739200
0.620000 , 0.920579 , 49.134400
0.630000 , 0.950498 , 49.288000
0.640000 , 0.931858 , 47.364800
0.650000 , 0.963179 , 48.348800
0.660000 , 0.920421 , 44.179200
0.670000 , 0.947658 , 44.238400
0.680000 , 0.975375 , 44.952000
0.690000 , 0.980797 , 44.424000
0.700000 , 0.957779 , 43.177600
0.710000 , 0.985735 , 44.464000
0.720000 , 0.986129 , 43.774400
0.730000 , 0.965860 , 43.060800
0.740000 , 0.990610 , 43.334400
0.750000 , 0.968409 , 42.076800
0.760000 , 0.992992 , 42.897600
0.770000 , 0.994660 , 42.944000
0.780000 , 0.995576 , 42.611200
0.790000 , 0.995959 , 42.524800
0.800000 , 0.997157 , 42.376000
0.810000 , 0.997352 , 42.611200
0.820000 , 0.997737 , 42.185600
0.830000 , 0.998441 , 42.208000
0.840000 , 0.998562 , 42.142400
0.850000 , 0.999147 , 42.196800
0.860000 , 0.999016 , 42.078400
0.870000 , 0.999363 , 42.200000
0.880000 , 0.999565 , 42.113600
0.890000 , 0.999627 , 42.120000
0.900000 , 0.999754 , 41.980800
0.910000 , 0.999782 , 41.980800
0.920000 , 0.999962 , 42.048000
0.930000 , 0.999907 , 42.001600
0.940000 , 0.999969 , 42.001600
0.950000 , 0.999969 , 42.000000
0.960000 , 0.999953 , 42.024000
0.970000 , 1.000000 , 42.024000
0.980000 , 1.000000 , 42.000000
0.990000 , 1.000000 , 42.000000
1.000000 , 1.000000 , 42.000000
Firestarter took 1.405491

