Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000007 , 2.041400
0.020000 , 0.000014 , 2.084600
0.030000 , 0.000021 , 2.126800
0.040000 , 0.000028 , 2.172200
0.050000 , 0.000035 , 2.210600
0.060000 , 0.000045 , 2.268400
0.070000 , 0.000057 , 2.329600
0.080000 , 0.000064 , 2.364400
0.090000 , 0.000075 , 2.420400
0.100000 , 0.000087 , 2.478200
0.110000 , 0.000101 , 2.546400
0.120000 , 0.000124 , 2.654800
0.130000 , 0.000132 , 2.689400
0.140000 , 0.000147 , 2.766600
0.150000 , 0.000162 , 2.829000
0.160000 , 0.000188 , 2.936200
0.170000 , 0.000216 , 3.051000
0.180000 , 0.000226 , 3.107000
0.190000 , 0.000267 , 3.255800
0.200000 , 0.000279 , 3.302000
0.210000 , 0.000326 , 3.481600
0.220000 , 0.000357 , 3.578800
0.230000 , 0.000397 , 3.720600
0.240000 , 0.000457 , 3.919600
0.250000 , 0.000493 , 4.041200
0.260000 , 0.000562 , 4.251600
0.270000 , 0.000636 , 4.488200
0.280000 , 0.000709 , 4.696800
0.290000 , 0.000793 , 4.900800
0.300000 , 0.000909 , 5.228800
0.310000 , 0.001056 , 5.585000
0.320000 , 0.001236 , 6.024800
0.330000 , 0.001392 , 6.380000
0.340000 , 0.001542 , 6.674000
0.350000 , 0.001926 , 7.483000
0.360000 , 0.002284 , 8.166000
0.370000 , 0.002603 , 8.681400
0.380000 , 0.003172 , 9.671400
0.390000 , 0.004046 , 10.954000
0.400000 , 0.005050 , 12.371200
0.410000 , 0.006465 , 14.086000
0.420000 , 0.008401 , 16.152000
0.430000 , 0.011126 , 19.123200
0.440000 , 0.016038 , 23.281200
0.450000 , 0.023666 , 28.845000
0.460000 , 0.037878 , 37.780800
0.470000 , 0.062526 , 49.703600
0.480000 , 0.105058 , 65.315800
0.490000 , 0.175704 , 86.720600
0.500000 , 0.277984 , 106.518000
0.510000 , 0.397952 , 122.976200
0.520000 , 0.527123 , 130.300600
0.530000 , 0.625312 , 129.481000
0.540000 , 0.702601 , 121.979200
0.550000 , 0.752666 , 113.552200
0.560000 , 0.793003 , 107.224600
0.570000 , 0.823055 , 102.082600
0.580000 , 0.847739 , 97.767000
0.590000 , 0.870061 , 94.908000
0.600000 , 0.884789 , 92.228200
0.610000 , 0.904358 , 90.573800
0.620000 , 0.917379 , 88.978000
0.630000 , 0.928088 , 87.702200
0.640000 , 0.937017 , 86.519400
0.650000 , 0.946002 , 85.776600
0.660000 , 0.955509 , 85.226400
0.670000 , 0.958860 , 84.373400
0.680000 , 0.963530 , 83.904000
0.690000 , 0.969331 , 83.738000
0.700000 , 0.975440 , 83.557000
0.710000 , 0.978997 , 83.230400
0.720000 , 0.981344 , 83.016600
0.730000 , 0.983726 , 82.854800
0.740000 , 0.983493 , 82.476200
0.750000 , 0.989765 , 82.736400
0.760000 , 0.991362 , 82.628200
0.770000 , 0.991444 , 82.434000
0.780000 , 0.992991 , 82.381400
0.790000 , 0.995403 , 82.438000
0.800000 , 0.995558 , 82.358400
0.810000 , 0.995011 , 82.178200
0.820000 , 0.996993 , 82.225400
0.830000 , 0.997933 , 82.232000
0.840000 , 0.998819 , 82.207400
0.850000 , 0.999014 , 82.181000
0.860000 , 0.999007 , 82.135200
0.870000 , 0.999145 , 82.093200
0.880000 , 0.999667 , 82.105800
0.890000 , 0.999760 , 82.093000
0.900000 , 0.999829 , 82.073600
0.910000 , 0.999885 , 82.049800
0.920000 , 0.999924 , 82.046600
0.930000 , 0.999953 , 82.026400
0.940000 , 0.999773 , 82.003600
0.950000 , 0.999986 , 82.016200
0.960000 , 0.999993 , 82.009800
0.970000 , 0.999998 , 82.005800
0.980000 , 0.999999 , 82.002800
0.990000 , 1.000000 , 82.000000
1.000000 , 1.000000 , 82.000000
Firestarter took 942.552424

