Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000100 , 2.040000
0.020000 , 0.000285 , 2.113600
0.030000 , 0.000317 , 2.126400
0.040000 , 0.000517 , 2.193600
0.050000 , 0.000513 , 2.204800
0.060000 , 0.000622 , 2.235200
0.070000 , 0.000958 , 2.332800
0.080000 , 0.000918 , 2.329600
0.090000 , 0.001191 , 2.424000
0.100000 , 0.001299 , 2.438400
0.110000 , 0.001295 , 2.428800
0.120000 , 0.001788 , 2.612800
0.130000 , 0.001476 , 2.491200
0.140000 , 0.002607 , 2.808000
0.150000 , 0.002442 , 2.739200
0.160000 , 0.002703 , 2.846400
0.170000 , 0.002939 , 2.908800
0.180000 , 0.004960 , 3.435200
0.190000 , 0.005045 , 3.364800
0.200000 , 0.004483 , 3.224000
0.210000 , 0.005037 , 3.428800
0.220000 , 0.004832 , 3.476800
0.230000 , 0.004960 , 3.356800
0.240000 , 0.007038 , 3.793600
0.250000 , 0.006584 , 3.755200
0.260000 , 0.008401 , 4.214400
0.270000 , 0.011886 , 4.680000
0.280000 , 0.015226 , 5.454400
0.290000 , 0.013201 , 4.945600
0.300000 , 0.014649 , 5.313600
0.310000 , 0.019417 , 5.947200
0.320000 , 0.019473 , 6.048000
0.330000 , 0.020744 , 6.305600
0.340000 , 0.030007 , 7.331200
0.350000 , 0.027830 , 7.046400
0.360000 , 0.034081 , 7.902400
0.370000 , 0.038143 , 8.521600
0.380000 , 0.049063 , 9.056000
0.390000 , 0.047274 , 9.270400
0.400000 , 0.074955 , 12.072000
0.410000 , 0.080080 , 12.164800
0.420000 , 0.087535 , 12.504000
0.430000 , 0.116676 , 14.489600
0.440000 , 0.127876 , 16.337600
0.450000 , 0.156988 , 17.107200
0.460000 , 0.163332 , 18.064000
0.470000 , 0.233584 , 22.780800
0.480000 , 0.295094 , 25.947200
0.490000 , 0.327904 , 25.369600
0.500000 , 0.352610 , 26.073600
0.510000 , 0.433432 , 26.657600
0.520000 , 0.479804 , 29.582400
0.530000 , 0.496413 , 28.532800
0.540000 , 0.606993 , 32.276800
0.550000 , 0.632473 , 31.603200
0.560000 , 0.660086 , 32.723200
0.570000 , 0.740186 , 33.000000
0.580000 , 0.783591 , 31.232000
0.590000 , 0.829225 , 32.502400
0.600000 , 0.801869 , 28.755200
0.610000 , 0.846039 , 29.720000
0.620000 , 0.871278 , 27.865600
0.630000 , 0.903659 , 28.107200
0.640000 , 0.914173 , 28.148800
0.650000 , 0.934949 , 27.000000
0.660000 , 0.949726 , 26.707200
0.670000 , 0.925385 , 25.022400
0.680000 , 0.947056 , 24.488000
0.690000 , 0.957879 , 24.710400
0.700000 , 0.963417 , 24.020800
0.710000 , 0.957939 , 23.689600
0.720000 , 0.981373 , 23.528000
0.730000 , 0.981746 , 23.809600
0.740000 , 0.987004 , 23.257600
0.750000 , 0.987709 , 22.907200
0.760000 , 0.986354 , 22.796800
0.770000 , 0.991078 , 22.800000
0.780000 , 0.981121 , 22.473600
0.790000 , 0.990500 , 22.515200
0.800000 , 0.994951 , 22.393600
0.810000 , 0.996764 , 22.374400
0.820000 , 0.994590 , 22.382400
0.830000 , 0.996980 , 22.440000
0.840000 , 0.996086 , 22.201600
0.850000 , 0.997867 , 22.204800
0.860000 , 0.996964 , 22.206400
0.870000 , 0.998981 , 22.124800
0.880000 , 0.999266 , 22.150400
0.890000 , 0.999507 , 22.075200
0.900000 , 0.999491 , 22.161600
0.910000 , 0.999727 , 22.052800
0.920000 , 0.999775 , 21.992000
0.930000 , 0.999924 , 22.014400
0.940000 , 0.999884 , 22.012800
0.950000 , 0.999936 , 22.036800
0.960000 , 0.999996 , 22.016000
0.970000 , 1.000000 , 22.000000
0.980000 , 1.000000 , 22.001600
0.990000 , 0.999996 , 22.000000
1.000000 , 1.000000 , 22.000000
Firestarter took 0.544338

