Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000000 , 2.000000
0.020000 , 0.000016 , 2.102400
0.030000 , 0.000020 , 2.128000
0.040000 , 0.000028 , 2.179200
0.050000 , 0.000032 , 2.177600
0.060000 , 0.000039 , 2.195200
0.070000 , 0.000052 , 2.268800
0.080000 , 0.000060 , 2.345600
0.090000 , 0.000076 , 2.435200
0.100000 , 0.000083 , 2.478400
0.110000 , 0.000076 , 2.422400
0.120000 , 0.000148 , 2.792000
0.130000 , 0.000121 , 2.667200
0.140000 , 0.000154 , 2.844800
0.150000 , 0.000135 , 2.761600
0.160000 , 0.000184 , 2.944000
0.170000 , 0.000192 , 2.956800
0.180000 , 0.000297 , 3.379200
0.190000 , 0.000284 , 3.204800
0.200000 , 0.000295 , 3.392000
0.210000 , 0.000279 , 3.244800
0.220000 , 0.000351 , 3.638400
0.230000 , 0.000380 , 3.692800
0.240000 , 0.000486 , 4.166400
0.250000 , 0.000583 , 4.289600
0.260000 , 0.000444 , 4.038400
0.270000 , 0.000554 , 4.382400
0.280000 , 0.000700 , 4.683200
0.290000 , 0.000917 , 5.284800
0.300000 , 0.000994 , 5.204800
0.310000 , 0.001204 , 5.862400
0.320000 , 0.000737 , 4.464000
0.330000 , 0.001553 , 7.110400
0.340000 , 0.001804 , 7.355200
0.350000 , 0.001490 , 6.734400
0.360000 , 0.002024 , 7.774400
0.370000 , 0.002415 , 8.502400
0.380000 , 0.003631 , 10.065600
0.390000 , 0.004031 , 11.014400
0.400000 , 0.004436 , 11.115200
0.410000 , 0.007301 , 15.401600
0.420000 , 0.007677 , 16.156800
0.430000 , 0.014520 , 22.436800
0.440000 , 0.014721 , 21.278400
0.450000 , 0.021557 , 29.619200
0.460000 , 0.036546 , 36.889600
0.470000 , 0.059773 , 47.433600
0.480000 , 0.086561 , 58.435200
0.490000 , 0.169331 , 80.456000
0.500000 , 0.261627 , 101.040000
0.510000 , 0.412250 , 107.740800
0.520000 , 0.532025 , 141.548800
0.530000 , 0.605330 , 121.280000
0.540000 , 0.685235 , 115.454400
0.550000 , 0.705456 , 106.848000
0.560000 , 0.792105 , 107.187200
0.570000 , 0.846149 , 104.249600
0.580000 , 0.848262 , 99.283200
0.590000 , 0.864501 , 94.940800
0.600000 , 0.889551 , 92.566400
0.610000 , 0.868129 , 87.518400
0.620000 , 0.915402 , 89.190400
0.630000 , 0.945473 , 88.361600
0.640000 , 0.909862 , 84.297600
0.650000 , 0.933450 , 84.612800
0.660000 , 0.972756 , 86.916800
0.670000 , 0.975985 , 85.945600
0.680000 , 0.954011 , 83.457600
0.690000 , 0.982388 , 84.948800
0.700000 , 0.962203 , 82.392000
0.710000 , 0.987800 , 84.126400
0.720000 , 0.986611 , 83.110400
0.730000 , 0.978315 , 82.192000
0.740000 , 0.992411 , 82.945600
0.750000 , 0.993759 , 82.857600
0.760000 , 0.994799 , 82.654400
0.770000 , 0.995640 , 82.758400
0.780000 , 0.994772 , 82.508800
0.790000 , 0.997013 , 82.638400
0.800000 , 0.984797 , 81.348800
0.810000 , 0.998108 , 82.411200
0.820000 , 0.998608 , 82.390400
0.830000 , 0.998701 , 82.248000
0.840000 , 0.998971 , 82.326400
0.850000 , 0.999243 , 82.198400
0.860000 , 0.999357 , 82.163200
0.870000 , 0.999566 , 82.147200
0.880000 , 0.999678 , 82.176000
0.890000 , 0.999775 , 82.052800
0.900000 , 0.999825 , 82.068800
0.910000 , 0.999861 , 82.004800
0.920000 , 0.999914 , 82.024000
0.930000 , 0.999953 , 82.012800
0.940000 , 0.999965 , 82.011200
0.950000 , 0.999977 , 82.003200
0.960000 , 0.999987 , 82.000000
0.970000 , 1.000000 , 82.000000
0.980000 , 1.000000 , 82.000000
0.990000 , 1.000000 , 82.000000
1.000000 , 1.000000 , 82.000000
Firestarter took 15.677000

