Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000008 , 2.048800
0.020000 , 0.000016 , 2.095200
0.030000 , 0.000018 , 2.109600
0.040000 , 0.000027 , 2.161600
0.050000 , 0.000039 , 2.232000
0.060000 , 0.000053 , 2.309600
0.070000 , 0.000054 , 2.313600
0.080000 , 0.000070 , 2.405600
0.090000 , 0.000081 , 2.445600
0.100000 , 0.000094 , 2.508800
0.110000 , 0.000106 , 2.570400
0.120000 , 0.000117 , 2.631200
0.130000 , 0.000123 , 2.659200
0.140000 , 0.000155 , 2.812000
0.150000 , 0.000173 , 2.885600
0.160000 , 0.000184 , 2.926400
0.170000 , 0.000201 , 2.988800
0.180000 , 0.000224 , 3.091200
0.190000 , 0.000237 , 3.156000
0.200000 , 0.000304 , 3.406400
0.210000 , 0.000311 , 3.408000
0.220000 , 0.000339 , 3.544000
0.230000 , 0.000387 , 3.693600
0.240000 , 0.000447 , 3.880800
0.250000 , 0.000472 , 3.966400
0.260000 , 0.000561 , 4.232000
0.270000 , 0.000643 , 4.495200
0.280000 , 0.000748 , 4.757600
0.290000 , 0.000810 , 4.898400
0.300000 , 0.000932 , 5.308000
0.310000 , 0.001017 , 5.458400
0.320000 , 0.001204 , 5.900000
0.330000 , 0.001373 , 6.308000
0.340000 , 0.001589 , 6.811200
0.350000 , 0.001958 , 7.543200
0.360000 , 0.002173 , 7.858400
0.370000 , 0.002786 , 8.900000
0.380000 , 0.003221 , 9.706400
0.390000 , 0.003887 , 10.908000
0.400000 , 0.004783 , 12.056800
0.410000 , 0.006626 , 14.338400
0.420000 , 0.008753 , 16.858400
0.430000 , 0.012622 , 20.561600
0.440000 , 0.016734 , 23.868800
0.450000 , 0.025630 , 29.894400
0.460000 , 0.040114 , 38.893600
0.470000 , 0.062782 , 49.748800
0.480000 , 0.108268 , 67.504800
0.490000 , 0.169058 , 83.689600
0.500000 , 0.274494 , 107.956000
0.510000 , 0.393786 , 123.250400
0.520000 , 0.518336 , 129.341600
0.530000 , 0.637623 , 131.218400
0.540000 , 0.697209 , 122.608800
0.550000 , 0.756006 , 114.072000
0.560000 , 0.800174 , 108.964000
0.570000 , 0.819565 , 101.720000
0.580000 , 0.836043 , 96.828800
0.590000 , 0.867905 , 94.543200
0.600000 , 0.882894 , 92.008000
0.610000 , 0.899316 , 89.912800
0.620000 , 0.924603 , 89.576800
0.630000 , 0.924845 , 87.451200
0.640000 , 0.936578 , 86.662400
0.650000 , 0.947518 , 85.732800
0.660000 , 0.955452 , 85.168000
0.670000 , 0.958928 , 84.475200
0.680000 , 0.965117 , 83.959200
0.690000 , 0.977280 , 84.238400
0.700000 , 0.973965 , 83.292000
0.710000 , 0.980785 , 83.413600
0.720000 , 0.983481 , 83.151200
0.730000 , 0.985670 , 83.038400
0.740000 , 0.987050 , 82.754400
0.750000 , 0.986591 , 82.445600
0.760000 , 0.990001 , 82.524800
0.770000 , 0.993207 , 82.584800
0.780000 , 0.993210 , 82.423200
0.790000 , 0.996197 , 82.556000
0.800000 , 0.995951 , 82.320800
0.810000 , 0.995640 , 82.208000
0.820000 , 0.997588 , 82.277600
0.830000 , 0.997940 , 82.244000
0.840000 , 0.999003 , 82.249600
0.850000 , 0.999211 , 82.227200
0.860000 , 0.999404 , 82.152000
0.870000 , 0.998741 , 82.079200
0.880000 , 0.999673 , 82.128000
0.890000 , 0.999770 , 82.073600
0.900000 , 0.999840 , 82.059200
0.910000 , 0.999889 , 82.056800
0.920000 , 0.999930 , 82.047200
0.930000 , 0.999952 , 82.030400
0.940000 , 0.999973 , 82.030400
0.950000 , 0.999985 , 82.017600
0.960000 , 0.999994 , 82.008800
0.970000 , 0.999997 , 82.005600
0.980000 , 0.999999 , 82.002400
0.990000 , 1.000000 , 82.001600
1.000000 , 1.000000 , 82.000000
Firestarter took 236.687725

