Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000027 , 2.041400
0.020000 , 0.000054 , 2.084600
0.030000 , 0.000083 , 2.126800
0.040000 , 0.000113 , 2.172200
0.050000 , 0.000139 , 2.210600
0.060000 , 0.000182 , 2.268400
0.070000 , 0.000230 , 2.329600
0.080000 , 0.000256 , 2.364400
0.090000 , 0.000301 , 2.420400
0.100000 , 0.000347 , 2.478200
0.110000 , 0.000403 , 2.546400
0.120000 , 0.000498 , 2.654800
0.130000 , 0.000530 , 2.689400
0.140000 , 0.000589 , 2.766600
0.150000 , 0.000647 , 2.829000
0.160000 , 0.000752 , 2.936200
0.170000 , 0.000865 , 3.051000
0.180000 , 0.000903 , 3.107000
0.190000 , 0.001067 , 3.255800
0.200000 , 0.001118 , 3.302000
0.210000 , 0.001304 , 3.481600
0.220000 , 0.001430 , 3.578800
0.230000 , 0.001589 , 3.720600
0.240000 , 0.001827 , 3.919600
0.250000 , 0.001975 , 4.041200
0.260000 , 0.002249 , 4.251600
0.270000 , 0.002545 , 4.488200
0.280000 , 0.002836 , 4.696800
0.290000 , 0.003172 , 4.900800
0.300000 , 0.003636 , 5.228800
0.310000 , 0.004213 , 5.570600
0.320000 , 0.004930 , 6.043000
0.330000 , 0.005600 , 6.391200
0.340000 , 0.006243 , 6.699600
0.350000 , 0.007696 , 7.471000
0.360000 , 0.009175 , 8.210400
0.370000 , 0.010450 , 8.638600
0.380000 , 0.012586 , 9.585400
0.390000 , 0.015806 , 10.890400
0.400000 , 0.019369 , 12.115200
0.410000 , 0.024518 , 13.671600
0.420000 , 0.032007 , 15.864800
0.430000 , 0.041896 , 18.386400
0.440000 , 0.056912 , 21.800600
0.450000 , 0.072321 , 24.549000
0.460000 , 0.100536 , 29.604400
0.470000 , 0.134108 , 34.352400
0.480000 , 0.188855 , 41.244800
0.490000 , 0.247798 , 46.971200
0.500000 , 0.323058 , 53.070000
0.510000 , 0.402240 , 57.459400
0.520000 , 0.487591 , 61.306600
0.530000 , 0.569052 , 64.658400
0.540000 , 0.639896 , 64.346000
0.550000 , 0.701121 , 62.448600
0.560000 , 0.743835 , 60.331600
0.570000 , 0.794289 , 59.144600
0.580000 , 0.824085 , 56.343600
0.590000 , 0.849740 , 54.312200
0.600000 , 0.877463 , 52.891200
0.610000 , 0.885299 , 50.595600
0.620000 , 0.904226 , 49.537200
0.630000 , 0.919491 , 48.501400
0.640000 , 0.929824 , 47.305600
0.650000 , 0.939453 , 46.466400
0.660000 , 0.947971 , 45.829800
0.670000 , 0.957549 , 45.358400
0.680000 , 0.957463 , 44.570000
0.690000 , 0.965308 , 44.238400
0.700000 , 0.969188 , 43.845000
0.710000 , 0.972763 , 43.511800
0.720000 , 0.978434 , 43.344800
0.730000 , 0.983776 , 43.230200
0.740000 , 0.984663 , 42.985200
0.750000 , 0.987480 , 42.895000
0.760000 , 0.990321 , 42.813600
0.770000 , 0.991948 , 42.673600
0.780000 , 0.992247 , 42.535400
0.790000 , 0.993568 , 42.484000
0.800000 , 0.995056 , 42.400600
0.810000 , 0.996425 , 42.398000
0.820000 , 0.997540 , 42.350800
0.830000 , 0.997527 , 42.279000
0.840000 , 0.997866 , 42.204000
0.850000 , 0.998530 , 42.185600
0.860000 , 0.998787 , 42.142800
0.870000 , 0.999390 , 42.137600
0.880000 , 0.999319 , 42.104800
0.890000 , 0.999445 , 42.079400
0.900000 , 0.999355 , 42.052400
0.910000 , 0.999823 , 42.052200
0.920000 , 0.999880 , 42.039600
0.930000 , 0.999725 , 42.026000
0.940000 , 0.999954 , 42.020000
0.950000 , 0.999976 , 42.012200
0.960000 , 0.999986 , 42.009800
0.970000 , 0.999995 , 42.005400
0.980000 , 0.999997 , 42.003400
0.990000 , 0.999999 , 42.001000
1.000000 , 1.000000 , 42.000000
Firestarter took 152.459169

