Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000032 , 2.048800
0.020000 , 0.000063 , 2.095200
0.030000 , 0.000073 , 2.109600
0.040000 , 0.000108 , 2.161600
0.050000 , 0.000156 , 2.232000
0.060000 , 0.000213 , 2.309600
0.070000 , 0.000214 , 2.313600
0.080000 , 0.000281 , 2.405600
0.090000 , 0.000322 , 2.445600
0.100000 , 0.000376 , 2.508800
0.110000 , 0.000423 , 2.570400
0.120000 , 0.000467 , 2.631200
0.130000 , 0.000492 , 2.659200
0.140000 , 0.000620 , 2.812000
0.150000 , 0.000690 , 2.885600
0.160000 , 0.000737 , 2.926400
0.170000 , 0.000804 , 2.988800
0.180000 , 0.000898 , 3.091200
0.190000 , 0.000950 , 3.156000
0.200000 , 0.001216 , 3.406400
0.210000 , 0.001246 , 3.408000
0.220000 , 0.001355 , 3.544000
0.230000 , 0.001550 , 3.693600
0.240000 , 0.001789 , 3.880800
0.250000 , 0.001888 , 3.966400
0.260000 , 0.002243 , 4.232000
0.270000 , 0.002572 , 4.495200
0.280000 , 0.002994 , 4.757600
0.290000 , 0.003241 , 4.898400
0.300000 , 0.003731 , 5.308000
0.310000 , 0.004069 , 5.458400
0.320000 , 0.004817 , 5.900000
0.330000 , 0.005495 , 6.308000
0.340000 , 0.006361 , 6.811200
0.350000 , 0.007837 , 7.543200
0.360000 , 0.008695 , 7.858400
0.370000 , 0.011380 , 9.056000
0.380000 , 0.012962 , 9.647200
0.390000 , 0.015055 , 10.666400
0.400000 , 0.019531 , 12.392000
0.410000 , 0.024620 , 13.600800
0.420000 , 0.032208 , 15.924000
0.430000 , 0.043460 , 18.616000
0.440000 , 0.054403 , 20.904000
0.450000 , 0.074525 , 24.971200
0.460000 , 0.099337 , 28.925600
0.470000 , 0.137684 , 34.845600
0.480000 , 0.193223 , 41.803200
0.490000 , 0.237211 , 44.920800
0.500000 , 0.322407 , 53.649600
0.510000 , 0.399120 , 57.164000
0.520000 , 0.467450 , 59.334400
0.530000 , 0.583789 , 65.630400
0.540000 , 0.646957 , 63.628000
0.550000 , 0.715189 , 64.152800
0.560000 , 0.752507 , 61.338400
0.570000 , 0.787532 , 58.296800
0.580000 , 0.832940 , 56.632000
0.590000 , 0.852403 , 54.506400
0.600000 , 0.859016 , 51.692800
0.610000 , 0.894801 , 51.596800
0.620000 , 0.910921 , 49.809600
0.630000 , 0.921091 , 48.415200
0.640000 , 0.930477 , 47.616800
0.650000 , 0.943048 , 46.824000
0.660000 , 0.948245 , 45.869600
0.670000 , 0.955570 , 45.184000
0.680000 , 0.959431 , 44.672000
0.690000 , 0.964840 , 44.209600
0.700000 , 0.972360 , 44.048800
0.710000 , 0.976438 , 43.702400
0.720000 , 0.978508 , 43.407200
0.730000 , 0.975169 , 42.900800
0.740000 , 0.985893 , 43.135200
0.750000 , 0.983510 , 42.726400
0.760000 , 0.991963 , 42.850400
0.770000 , 0.991309 , 42.692000
0.780000 , 0.994587 , 42.636000
0.790000 , 0.994674 , 42.495200
0.800000 , 0.994419 , 42.370400
0.810000 , 0.996716 , 42.387200
0.820000 , 0.997987 , 42.376000
0.830000 , 0.996758 , 42.241600
0.840000 , 0.998639 , 42.225600
0.850000 , 0.998969 , 42.192800
0.860000 , 0.998422 , 42.116000
0.870000 , 0.999365 , 42.143200
0.880000 , 0.998731 , 42.076000
0.890000 , 0.999673 , 42.089600
0.900000 , 0.999738 , 42.084000
0.910000 , 0.999814 , 42.065600
0.920000 , 0.999896 , 42.044000
0.930000 , 0.999920 , 42.034400
0.940000 , 0.999954 , 42.019200
0.950000 , 0.999977 , 42.014400
0.960000 , 0.999987 , 42.008800
0.970000 , 0.999995 , 42.001600
0.980000 , 0.999997 , 42.002400
0.990000 , 1.000000 , 42.000800
1.000000 , 1.000000 , 42.000000
Firestarter took 38.184578

