Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000030 , 2.046800
0.020000 , 0.000053 , 2.080800
0.030000 , 0.000091 , 2.137200
0.040000 , 0.000118 , 2.177600
0.050000 , 0.000150 , 2.221200
0.060000 , 0.000183 , 2.266000
0.070000 , 0.000214 , 2.312000
0.080000 , 0.000271 , 2.386000
0.090000 , 0.000312 , 2.440800
0.100000 , 0.000337 , 2.472000
0.110000 , 0.000388 , 2.530000
0.120000 , 0.000481 , 2.645600
0.130000 , 0.000523 , 2.692800
0.140000 , 0.000569 , 2.742800
0.150000 , 0.000654 , 2.839200
0.160000 , 0.000710 , 2.897200
0.170000 , 0.000806 , 2.998000
0.180000 , 0.000958 , 3.161200
0.190000 , 0.001048 , 3.228000
0.200000 , 0.001174 , 3.349200
0.210000 , 0.001351 , 3.496000
0.220000 , 0.001410 , 3.553200
0.230000 , 0.001506 , 3.652400
0.240000 , 0.001825 , 3.919200
0.250000 , 0.002110 , 4.145600
0.260000 , 0.002249 , 4.261200
0.270000 , 0.002625 , 4.590400
0.280000 , 0.002780 , 4.601200
0.290000 , 0.003167 , 4.894800
0.300000 , 0.003682 , 5.304400
0.310000 , 0.004281 , 5.639600
0.320000 , 0.004803 , 5.971600
0.330000 , 0.005459 , 6.290800
0.340000 , 0.006387 , 6.756400
0.350000 , 0.007717 , 7.458400
0.360000 , 0.008609 , 7.843600
0.370000 , 0.010639 , 8.810400
0.380000 , 0.013337 , 9.811200
0.390000 , 0.016059 , 10.932400
0.400000 , 0.019226 , 12.046400
0.410000 , 0.025281 , 14.008800
0.420000 , 0.032866 , 16.024000
0.430000 , 0.041321 , 18.216000
0.440000 , 0.055503 , 21.524000
0.450000 , 0.080521 , 26.626800
0.460000 , 0.101007 , 29.552800
0.470000 , 0.139975 , 35.222400
0.480000 , 0.188736 , 40.690800
0.490000 , 0.243042 , 46.516400
0.500000 , 0.317522 , 51.990000
0.510000 , 0.411982 , 59.501200
0.520000 , 0.487784 , 61.714400
0.530000 , 0.560214 , 62.934400
0.540000 , 0.644817 , 63.914000
0.550000 , 0.706312 , 63.255200
0.560000 , 0.758943 , 61.734000
0.570000 , 0.795270 , 59.130400
0.580000 , 0.821369 , 56.393600
0.590000 , 0.851902 , 54.617200
0.600000 , 0.868474 , 52.469200
0.610000 , 0.894257 , 51.273600
0.620000 , 0.900296 , 49.392400
0.630000 , 0.919253 , 48.331200
0.640000 , 0.924406 , 47.187200
0.650000 , 0.938162 , 46.406000
0.660000 , 0.946393 , 45.790400
0.670000 , 0.953838 , 45.226000
0.680000 , 0.962942 , 44.876800
0.690000 , 0.967353 , 44.372400
0.700000 , 0.968586 , 43.792000
0.710000 , 0.974989 , 43.642000
0.720000 , 0.976657 , 43.357200
0.730000 , 0.983004 , 43.213200
0.740000 , 0.986012 , 43.128400
0.750000 , 0.989817 , 42.942000
0.760000 , 0.988339 , 42.688000
0.770000 , 0.991370 , 42.626800
0.780000 , 0.991427 , 42.527600
0.790000 , 0.994987 , 42.481200
0.800000 , 0.994094 , 42.347200
0.810000 , 0.995869 , 42.344000
0.820000 , 0.997504 , 42.314000
0.830000 , 0.997952 , 42.268400
0.840000 , 0.997467 , 42.192400
0.850000 , 0.998981 , 42.221200
0.860000 , 0.998822 , 42.144000
0.870000 , 0.998581 , 42.099200
0.880000 , 0.999518 , 42.118000
0.890000 , 0.999623 , 42.074800
0.900000 , 0.999765 , 42.066000
0.910000 , 0.999423 , 42.032400
0.920000 , 0.999880 , 42.044400
0.930000 , 0.999526 , 42.011200
0.940000 , 0.999955 , 42.020000
0.950000 , 0.999977 , 42.013200
0.960000 , 0.999982 , 42.006400
0.970000 , 0.999993 , 42.006800
0.980000 , 0.999998 , 42.002400
0.990000 , 0.999999 , 42.000400
1.000000 , 1.000000 , 42.000000
Firestarter took 76.307550

