Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000000 , 2.000000
0.020000 , 0.000020 , 2.126400
0.030000 , 0.000016 , 2.102400
0.040000 , 0.000024 , 2.153600
0.050000 , 0.000000 , 2.000000
0.060000 , 0.000041 , 2.235200
0.070000 , 0.000035 , 2.201600
0.080000 , 0.000069 , 2.412800
0.090000 , 0.000052 , 2.307200
0.100000 , 0.000076 , 2.436800
0.110000 , 0.000106 , 2.678400
0.120000 , 0.000122 , 2.628800
0.130000 , 0.000059 , 2.252800
0.140000 , 0.000110 , 2.651200
0.150000 , 0.000163 , 2.864000
0.160000 , 0.000186 , 2.880000
0.170000 , 0.000181 , 2.948800
0.180000 , 0.000281 , 3.420800
0.190000 , 0.000225 , 3.067200
0.200000 , 0.000300 , 3.280000
0.210000 , 0.000338 , 3.662400
0.220000 , 0.000315 , 3.299200
0.230000 , 0.000497 , 3.971200
0.240000 , 0.000730 , 4.860800
0.250000 , 0.000708 , 4.912000
0.260000 , 0.000525 , 4.168000
0.270000 , 0.000436 , 3.761600
0.280000 , 0.000699 , 4.779200
0.290000 , 0.000819 , 4.868800
0.300000 , 0.001036 , 5.312000
0.310000 , 0.000731 , 4.748800
0.320000 , 0.001069 , 6.257600
0.330000 , 0.001244 , 6.542400
0.340000 , 0.001762 , 7.342400
0.350000 , 0.002766 , 9.169600
0.360000 , 0.002021 , 8.163200
0.370000 , 0.002194 , 8.344000
0.380000 , 0.002640 , 8.312000
0.390000 , 0.004990 , 11.760000
0.400000 , 0.004975 , 13.008000
0.410000 , 0.008612 , 17.201600
0.420000 , 0.004980 , 13.158400
0.430000 , 0.013170 , 21.915200
0.440000 , 0.021310 , 30.000000
0.450000 , 0.034647 , 38.944000
0.460000 , 0.051366 , 43.300800
0.470000 , 0.067333 , 51.560000
0.480000 , 0.123877 , 70.963200
0.490000 , 0.215650 , 106.062400
0.500000 , 0.346252 , 129.136000
0.510000 , 0.463421 , 143.865600
0.520000 , 0.530378 , 135.987200
0.530000 , 0.663242 , 134.808000
0.540000 , 0.756204 , 132.164800
0.550000 , 0.758716 , 114.054400
0.560000 , 0.865038 , 114.083200
0.570000 , 0.872516 , 108.905600
0.580000 , 0.868920 , 99.048000
0.590000 , 0.878844 , 95.270400
0.600000 , 0.938216 , 98.536000
0.610000 , 0.923148 , 91.907200
0.620000 , 0.952636 , 94.259200
0.630000 , 0.913707 , 86.705600
0.640000 , 0.965170 , 88.896000
0.650000 , 0.943322 , 85.222400
0.660000 , 0.923385 , 82.329600
0.670000 , 0.977874 , 85.886400
0.680000 , 0.981644 , 85.657600
0.690000 , 0.983778 , 85.150400
0.700000 , 0.986314 , 84.481600
0.710000 , 0.987427 , 83.790400
0.720000 , 0.989453 , 83.779200
0.730000 , 0.991384 , 83.478400
0.740000 , 0.968886 , 81.254400
0.750000 , 0.993408 , 82.737600
0.760000 , 0.994675 , 82.945600
0.770000 , 0.995325 , 82.961600
0.780000 , 0.996463 , 82.713600
0.790000 , 0.972965 , 80.640000
0.800000 , 0.997617 , 82.412800
0.810000 , 0.998207 , 82.518400
0.820000 , 0.998508 , 82.075200
0.830000 , 0.998653 , 82.241600
0.840000 , 0.998935 , 82.153600
0.850000 , 0.999268 , 82.340800
0.860000 , 0.999409 , 82.126400
0.870000 , 0.999554 , 82.160000
0.880000 , 0.999661 , 82.057600
0.890000 , 0.999705 , 82.000000
0.900000 , 0.999835 , 81.996800
0.910000 , 0.999897 , 82.051200
0.920000 , 0.999916 , 82.027200
0.930000 , 0.999969 , 82.051200
0.940000 , 0.999980 , 82.024000
0.950000 , 0.999983 , 82.075200
0.960000 , 0.999991 , 82.054400
0.970000 , 0.999996 , 82.000000
0.980000 , 1.000000 , 82.000000
0.990000 , 1.000000 , 82.000000
1.000000 , 1.000000 , 82.000000
Firestarter took 4.267595

