Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000028 , 2.044800
0.020000 , 0.000057 , 2.084800
0.030000 , 0.000119 , 2.171200
0.040000 , 0.000102 , 2.155200
0.050000 , 0.000118 , 2.177600
0.060000 , 0.000205 , 2.308800
0.070000 , 0.000174 , 2.259200
0.080000 , 0.000290 , 2.416000
0.090000 , 0.000317 , 2.448000
0.100000 , 0.000356 , 2.504000
0.110000 , 0.000421 , 2.590400
0.120000 , 0.000413 , 2.580800
0.130000 , 0.000521 , 2.686400
0.140000 , 0.000617 , 2.793600
0.150000 , 0.000812 , 2.987200
0.160000 , 0.000765 , 2.977600
0.170000 , 0.000860 , 3.072000
0.180000 , 0.000854 , 3.003200
0.190000 , 0.000880 , 3.016000
0.200000 , 0.001218 , 3.435200
0.210000 , 0.001143 , 3.408000
0.220000 , 0.001301 , 3.512000
0.230000 , 0.001608 , 3.774400
0.240000 , 0.001795 , 3.907200
0.250000 , 0.001898 , 3.979200
0.260000 , 0.002059 , 4.120000
0.270000 , 0.002357 , 4.305600
0.280000 , 0.002654 , 4.540800
0.290000 , 0.003143 , 4.929600
0.300000 , 0.003735 , 5.228800
0.310000 , 0.004156 , 5.508800
0.320000 , 0.004822 , 6.024000
0.330000 , 0.005595 , 6.403200
0.340000 , 0.006446 , 6.758400
0.350000 , 0.008409 , 7.796800
0.360000 , 0.009509 , 8.379200
0.370000 , 0.010228 , 8.868800
0.380000 , 0.013068 , 9.972800
0.390000 , 0.014008 , 10.233600
0.400000 , 0.019246 , 12.257600
0.410000 , 0.025672 , 13.904000
0.420000 , 0.033626 , 15.950400
0.430000 , 0.044101 , 19.118400
0.440000 , 0.057843 , 22.372800
0.450000 , 0.082111 , 26.939200
0.460000 , 0.111862 , 31.571200
0.470000 , 0.137830 , 34.196800
0.480000 , 0.208454 , 44.195200
0.490000 , 0.234497 , 45.158400
0.500000 , 0.319063 , 53.003200
0.510000 , 0.368312 , 55.644800
0.520000 , 0.465816 , 59.648000
0.530000 , 0.567710 , 63.515200
0.540000 , 0.653631 , 64.486400
0.550000 , 0.714745 , 62.982400
0.560000 , 0.767335 , 63.321600
0.570000 , 0.788323 , 57.681600
0.580000 , 0.836025 , 58.227200
0.590000 , 0.854983 , 54.355200
0.600000 , 0.860724 , 52.196800
0.610000 , 0.894469 , 51.073600
0.620000 , 0.905077 , 49.529600
0.630000 , 0.923371 , 48.251200
0.640000 , 0.928886 , 47.326400
0.650000 , 0.937411 , 46.616000
0.660000 , 0.954677 , 45.912000
0.670000 , 0.958640 , 45.232000
0.680000 , 0.960845 , 44.808000
0.690000 , 0.959611 , 44.156800
0.700000 , 0.968480 , 43.939200
0.710000 , 0.974462 , 43.590400
0.720000 , 0.976361 , 43.377600
0.730000 , 0.979703 , 43.046400
0.740000 , 0.987655 , 43.107200
0.750000 , 0.984225 , 42.686400
0.760000 , 0.993538 , 43.022400
0.770000 , 0.991336 , 42.660800
0.780000 , 0.989086 , 42.331200
0.790000 , 0.995973 , 42.566400
0.800000 , 0.995183 , 42.473600
0.810000 , 0.994421 , 42.312000
0.820000 , 0.994739 , 42.190400
0.830000 , 0.998361 , 42.331200
0.840000 , 0.998698 , 42.254400
0.850000 , 0.998967 , 42.224000
0.860000 , 0.999120 , 42.204800
0.870000 , 0.999423 , 42.136000
0.880000 , 0.999545 , 42.097600
0.890000 , 0.999640 , 42.075200
0.900000 , 0.999751 , 42.076800
0.910000 , 0.999836 , 42.068800
0.920000 , 0.999870 , 42.040000
0.930000 , 0.999933 , 42.030400
0.940000 , 0.999959 , 42.025600
0.950000 , 0.999981 , 42.008000
0.960000 , 0.999977 , 42.003200
0.970000 , 0.999995 , 42.000000
0.980000 , 0.999996 , 42.000000
0.990000 , 1.000000 , 42.000000
1.000000 , 1.000000 , 42.000000
Firestarter took 9.765390

