Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000000 , 2.000000
0.020000 , 0.000064 , 2.102400
0.030000 , 0.000080 , 2.128000
0.040000 , 0.000112 , 2.179200
0.050000 , 0.000126 , 2.177600
0.060000 , 0.000154 , 2.195200
0.070000 , 0.000208 , 2.268800
0.080000 , 0.000240 , 2.345600
0.090000 , 0.000304 , 2.435200
0.100000 , 0.000332 , 2.478400
0.110000 , 0.000305 , 2.422400
0.120000 , 0.000590 , 2.792000
0.130000 , 0.000482 , 2.667200
0.140000 , 0.000617 , 2.844800
0.150000 , 0.000538 , 2.761600
0.160000 , 0.000734 , 2.944000
0.170000 , 0.000768 , 2.956800
0.180000 , 0.001188 , 3.379200
0.190000 , 0.001135 , 3.204800
0.200000 , 0.001181 , 3.392000
0.210000 , 0.001118 , 3.244800
0.220000 , 0.001403 , 3.638400
0.230000 , 0.001522 , 3.692800
0.240000 , 0.001945 , 4.166400
0.250000 , 0.002334 , 4.289600
0.260000 , 0.001775 , 4.038400
0.270000 , 0.002217 , 4.382400
0.280000 , 0.002800 , 4.683200
0.290000 , 0.003670 , 5.284800
0.300000 , 0.003978 , 5.204800
0.310000 , 0.004818 , 5.862400
0.320000 , 0.002948 , 4.464000
0.330000 , 0.006215 , 7.110400
0.340000 , 0.007219 , 7.355200
0.350000 , 0.005964 , 6.734400
0.360000 , 0.008099 , 7.774400
0.370000 , 0.009496 , 8.580800
0.380000 , 0.015212 , 11.084800
0.390000 , 0.015812 , 10.985600
0.400000 , 0.017392 , 11.089600
0.410000 , 0.025169 , 14.174400
0.420000 , 0.025877 , 13.313600
0.430000 , 0.048306 , 20.452800
0.440000 , 0.058977 , 22.952000
0.450000 , 0.067525 , 22.908800
0.460000 , 0.090193 , 25.216000
0.470000 , 0.140144 , 36.670400
0.480000 , 0.216375 , 44.121600
0.490000 , 0.234515 , 45.464000
0.500000 , 0.298057 , 49.920000
0.510000 , 0.388073 , 55.681600
0.520000 , 0.521908 , 67.697600
0.530000 , 0.552123 , 63.225600
0.540000 , 0.629544 , 65.155200
0.550000 , 0.744178 , 67.587200
0.560000 , 0.769654 , 60.484800
0.570000 , 0.832521 , 60.241600
0.580000 , 0.824901 , 57.852800
0.590000 , 0.837292 , 51.971200
0.600000 , 0.852335 , 52.233600
0.610000 , 0.909052 , 50.916800
0.620000 , 0.926126 , 51.464000
0.630000 , 0.928584 , 48.588800
0.640000 , 0.911211 , 46.096000
0.650000 , 0.949881 , 46.201600
0.660000 , 0.944775 , 45.441600
0.670000 , 0.919567 , 43.710400
0.680000 , 0.975610 , 45.169600
0.690000 , 0.965917 , 44.116800
0.700000 , 0.960007 , 43.414400
0.710000 , 0.973523 , 43.700800
0.720000 , 0.988089 , 43.692800
0.730000 , 0.976410 , 42.840000
0.740000 , 0.986395 , 43.100800
0.750000 , 0.991213 , 43.190400
0.760000 , 0.993722 , 42.876800
0.770000 , 0.994507 , 42.584000
0.780000 , 0.984287 , 42.457600
0.790000 , 0.996289 , 42.800000
0.800000 , 0.995320 , 42.302400
0.810000 , 0.997372 , 42.454400
0.820000 , 0.997966 , 42.408000
0.830000 , 0.987228 , 41.948800
0.840000 , 0.998723 , 42.256000
0.850000 , 0.999044 , 42.172800
0.860000 , 0.999369 , 42.131200
0.870000 , 0.999486 , 42.041600
0.880000 , 0.999508 , 42.177600
0.890000 , 0.999591 , 42.104000
0.900000 , 0.999733 , 42.070400
0.910000 , 0.999836 , 42.028800
0.920000 , 0.999865 , 42.052800
0.930000 , 0.999923 , 42.052800
0.940000 , 0.999950 , 42.027200
0.950000 , 0.999983 , 42.035200
0.960000 , 0.999993 , 42.000000
0.970000 , 0.999991 , 42.001600
0.980000 , 0.999999 , 42.011200
0.990000 , 1.000000 , 42.000000
1.000000 , 1.000000 , 42.000000
Firestarter took 2.598038

