Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000152 , 2.060800
0.020000 , 0.000184 , 2.073600
0.030000 , 0.000297 , 2.105600
0.040000 , 0.000421 , 2.160000
0.050000 , 0.000622 , 2.224000
0.060000 , 0.000694 , 2.251200
0.070000 , 0.000750 , 2.291200
0.080000 , 0.000982 , 2.347200
0.090000 , 0.001183 , 2.396800
0.100000 , 0.001275 , 2.438400
0.110000 , 0.002037 , 2.660800
0.120000 , 0.001724 , 2.566400
0.130000 , 0.002141 , 2.678400
0.140000 , 0.002550 , 2.787200
0.150000 , 0.002374 , 2.726400
0.160000 , 0.002534 , 2.809600
0.170000 , 0.003797 , 3.187200
0.180000 , 0.004852 , 3.337600
0.190000 , 0.003986 , 3.188800
0.200000 , 0.005093 , 3.492800
0.210000 , 0.005434 , 3.448000
0.220000 , 0.007046 , 3.857600
0.230000 , 0.005217 , 3.465600
0.240000 , 0.007667 , 3.987200
0.250000 , 0.009135 , 4.292800
0.260000 , 0.009881 , 4.460800
0.270000 , 0.008846 , 4.064000
0.280000 , 0.013057 , 4.982400
0.290000 , 0.011340 , 4.654400
0.300000 , 0.015631 , 5.376000
0.310000 , 0.017684 , 5.748800
0.320000 , 0.015904 , 5.307200
0.330000 , 0.019701 , 6.116800
0.340000 , 0.024044 , 6.539200
0.350000 , 0.031455 , 7.704000
0.360000 , 0.032638 , 7.713600
0.370000 , 0.036656 , 8.088000
0.380000 , 0.045450 , 8.977600
0.390000 , 0.062949 , 10.740800
0.400000 , 0.071988 , 11.128000
0.410000 , 0.071322 , 11.353600
0.420000 , 0.096682 , 13.796800
0.430000 , 0.131056 , 16.635200
0.440000 , 0.127984 , 16.078400
0.450000 , 0.172387 , 18.756800
0.460000 , 0.192068 , 19.387200
0.470000 , 0.244507 , 22.288000
0.480000 , 0.313688 , 24.520000
0.490000 , 0.308483 , 25.030400
0.500000 , 0.338955 , 24.982400
0.510000 , 0.397843 , 27.156800
0.520000 , 0.483120 , 30.155200
0.530000 , 0.505965 , 29.854400
0.540000 , 0.616196 , 31.564800
0.550000 , 0.686107 , 32.673600
0.560000 , 0.659826 , 31.062400
0.570000 , 0.694332 , 30.875200
0.580000 , 0.739569 , 29.867200
0.590000 , 0.795348 , 30.435200
0.600000 , 0.826627 , 30.715200
0.610000 , 0.875753 , 31.046400
0.620000 , 0.868728 , 28.417600
0.630000 , 0.884347 , 27.324800
0.640000 , 0.890322 , 26.427200
0.650000 , 0.925634 , 26.628800
0.660000 , 0.943250 , 26.108800
0.670000 , 0.945299 , 25.451200
0.680000 , 0.943872 , 25.113600
0.690000 , 0.947388 , 24.345600
0.700000 , 0.964439 , 24.416000
0.710000 , 0.965005 , 23.792000
0.720000 , 0.973598 , 23.644800
0.730000 , 0.966135 , 23.294400
0.740000 , 0.986049 , 23.358400
0.750000 , 0.985412 , 22.982400
0.760000 , 0.986683 , 22.932800
0.770000 , 0.991968 , 22.860800
0.780000 , 0.993672 , 22.713600
0.790000 , 0.993993 , 22.547200
0.800000 , 0.990649 , 22.441600
0.810000 , 0.996150 , 22.561600
0.820000 , 0.991623 , 22.244800
0.830000 , 0.996704 , 22.233600
0.840000 , 0.997642 , 22.204800
0.850000 , 0.998256 , 22.300800
0.860000 , 0.992553 , 21.987200
0.870000 , 0.997229 , 22.048000
0.880000 , 0.999122 , 22.099200
0.890000 , 0.999403 , 22.088000
0.900000 , 0.999495 , 22.049600
0.910000 , 0.999575 , 22.068800
0.920000 , 0.999824 , 22.038400
0.930000 , 0.999880 , 22.035200
0.940000 , 0.999924 , 22.027200
0.950000 , 0.999996 , 22.022400
0.960000 , 0.999960 , 22.009600
0.970000 , 0.999996 , 22.004800
0.980000 , 0.999996 , 22.000000
0.990000 , 1.000000 , 22.000000
1.000000 , 1.000000 , 22.000000
Firestarter took 1.025169

