Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000111 , 2.043600
0.020000 , 0.000199 , 2.077200
0.030000 , 0.000293 , 2.111200
0.040000 , 0.000446 , 2.168000
0.050000 , 0.000603 , 2.226400
0.060000 , 0.000670 , 2.245200
0.070000 , 0.000970 , 2.346400
0.080000 , 0.001144 , 2.401200
0.090000 , 0.001210 , 2.422400
0.100000 , 0.001419 , 2.493600
0.110000 , 0.001532 , 2.519600
0.120000 , 0.001874 , 2.612000
0.130000 , 0.002153 , 2.704800
0.140000 , 0.002412 , 2.785200
0.150000 , 0.002666 , 2.838000
0.160000 , 0.002977 , 2.940800
0.170000 , 0.003382 , 3.022800
0.180000 , 0.003730 , 3.126400
0.190000 , 0.004321 , 3.261200
0.200000 , 0.004702 , 3.344800
0.210000 , 0.005132 , 3.439600
0.220000 , 0.005763 , 3.603200
0.230000 , 0.006228 , 3.677200
0.240000 , 0.007104 , 3.877600
0.250000 , 0.008099 , 4.092400
0.260000 , 0.008991 , 4.272000
0.270000 , 0.010473 , 4.538800
0.280000 , 0.011389 , 4.658000
0.290000 , 0.013055 , 4.951200
0.300000 , 0.014354 , 5.196400
0.310000 , 0.016901 , 5.568400
0.320000 , 0.019234 , 5.956400
0.330000 , 0.022218 , 6.351200
0.340000 , 0.023801 , 6.515600
0.350000 , 0.029450 , 7.264000
0.360000 , 0.033744 , 7.818400
0.370000 , 0.040349 , 8.556000
0.380000 , 0.046683 , 9.193600
0.390000 , 0.055073 , 10.011600
0.400000 , 0.065952 , 10.933200
0.410000 , 0.078599 , 12.160800
0.420000 , 0.094318 , 13.195200
0.430000 , 0.118859 , 15.210400
0.440000 , 0.134727 , 15.942400
0.450000 , 0.164537 , 17.584000
0.460000 , 0.190199 , 19.204400
0.470000 , 0.239258 , 21.546800
0.480000 , 0.273873 , 22.797200
0.490000 , 0.322860 , 24.723600
0.500000 , 0.370680 , 26.078800
0.510000 , 0.421963 , 28.185200
0.520000 , 0.469350 , 28.546400
0.530000 , 0.532706 , 30.155600
0.540000 , 0.583562 , 30.754000
0.550000 , 0.640694 , 31.196400
0.560000 , 0.694827 , 32.000000
0.570000 , 0.733041 , 31.599600
0.580000 , 0.774677 , 31.391600
0.590000 , 0.804436 , 31.090000
0.600000 , 0.838136 , 30.368000
0.610000 , 0.860680 , 29.449600
0.620000 , 0.886969 , 29.079600
0.630000 , 0.893078 , 27.932400
0.640000 , 0.915582 , 27.383200
0.650000 , 0.932224 , 26.814000
0.660000 , 0.930035 , 26.231200
0.670000 , 0.942549 , 25.585600
0.680000 , 0.947865 , 24.988400
0.690000 , 0.958043 , 24.669600
0.700000 , 0.965718 , 24.371200
0.710000 , 0.969368 , 23.995600
0.720000 , 0.973284 , 23.745200
0.730000 , 0.979022 , 23.491200
0.740000 , 0.978943 , 23.207200
0.750000 , 0.984056 , 23.097200
0.760000 , 0.985733 , 22.918800
0.770000 , 0.989047 , 22.795200
0.780000 , 0.990537 , 22.630400
0.790000 , 0.992982 , 22.581200
0.800000 , 0.993916 , 22.476400
0.810000 , 0.994461 , 22.414400
0.820000 , 0.996248 , 22.364000
0.830000 , 0.996508 , 22.257600
0.840000 , 0.997794 , 22.249600
0.850000 , 0.997846 , 22.193600
0.860000 , 0.998225 , 22.153200
0.870000 , 0.997340 , 22.090000
0.880000 , 0.999189 , 22.112000
0.890000 , 0.998957 , 22.082400
0.900000 , 0.999570 , 22.073600
0.910000 , 0.999674 , 22.056800
0.920000 , 0.999785 , 22.045200
0.930000 , 0.999834 , 22.025600
0.940000 , 0.999912 , 22.024000
0.950000 , 0.999953 , 22.004400
0.960000 , 0.999968 , 22.005200
0.970000 , 0.999987 , 22.007200
0.980000 , 0.999996 , 22.003600
0.990000 , 0.999998 , 22.000800
1.000000 , 1.000000 , 22.000000
Firestarter took 13.406097

