Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000023 , 2.035200
0.020000 , 0.000065 , 2.096000
0.030000 , 0.000100 , 2.148800
0.040000 , 0.000117 , 2.172800
0.050000 , 0.000137 , 2.204800
0.060000 , 0.000164 , 2.244800
0.070000 , 0.000226 , 2.324800
0.080000 , 0.000269 , 2.395200
0.090000 , 0.000331 , 2.467200
0.100000 , 0.000370 , 2.513600
0.110000 , 0.000470 , 2.612800
0.120000 , 0.000476 , 2.625600
0.130000 , 0.000547 , 2.720000
0.140000 , 0.000592 , 2.758400
0.150000 , 0.000675 , 2.859200
0.160000 , 0.000851 , 3.012800
0.170000 , 0.000900 , 3.105600
0.180000 , 0.001032 , 3.233600
0.190000 , 0.001057 , 3.297600
0.200000 , 0.001079 , 3.241600
0.210000 , 0.001252 , 3.443200
0.220000 , 0.001452 , 3.638400
0.230000 , 0.001786 , 3.923200
0.240000 , 0.001833 , 3.937600
0.250000 , 0.002031 , 4.092800
0.260000 , 0.001939 , 4.025600
0.270000 , 0.002610 , 4.568000
0.280000 , 0.002933 , 4.739200
0.290000 , 0.003370 , 5.025600
0.300000 , 0.003300 , 5.035200
0.310000 , 0.004105 , 5.436800
0.320000 , 0.004910 , 5.982400
0.330000 , 0.004918 , 5.881600
0.340000 , 0.006338 , 6.736000
0.350000 , 0.008004 , 7.648000
0.360000 , 0.008499 , 7.883200
0.370000 , 0.010469 , 8.835200
0.380000 , 0.013878 , 10.256000
0.390000 , 0.016264 , 10.814400
0.400000 , 0.022372 , 12.856000
0.410000 , 0.024675 , 13.860800
0.420000 , 0.032961 , 16.425600
0.430000 , 0.039965 , 17.913600
0.440000 , 0.058239 , 22.824000
0.450000 , 0.081670 , 26.646400
0.460000 , 0.109959 , 30.548800
0.470000 , 0.142921 , 35.230400
0.480000 , 0.192215 , 42.153600
0.490000 , 0.232679 , 44.339200
0.500000 , 0.323139 , 53.032000
0.510000 , 0.405829 , 57.795200
0.520000 , 0.474866 , 60.132800
0.530000 , 0.589309 , 66.204800
0.540000 , 0.635031 , 65.320000
0.550000 , 0.715859 , 64.140800
0.560000 , 0.741498 , 60.320000
0.570000 , 0.781702 , 58.740800
0.580000 , 0.826317 , 55.931200
0.590000 , 0.854756 , 54.358400
0.600000 , 0.880872 , 52.798400
0.610000 , 0.893417 , 51.385600
0.620000 , 0.898622 , 49.419200
0.630000 , 0.904075 , 47.665600
0.640000 , 0.932211 , 47.406400
0.650000 , 0.935818 , 46.214400
0.660000 , 0.946478 , 45.638400
0.670000 , 0.950743 , 45.131200
0.680000 , 0.960983 , 44.732800
0.690000 , 0.967509 , 44.326400
0.700000 , 0.968785 , 43.840000
0.710000 , 0.977279 , 43.862400
0.720000 , 0.980946 , 43.566400
0.730000 , 0.984609 , 43.358400
0.740000 , 0.981208 , 42.910400
0.750000 , 0.990752 , 42.905600
0.760000 , 0.987183 , 42.670400
0.770000 , 0.984904 , 42.470400
0.780000 , 0.992137 , 42.515200
0.790000 , 0.994667 , 42.472000
0.800000 , 0.993721 , 42.403200
0.810000 , 0.995741 , 42.372800
0.820000 , 0.996326 , 42.268800
0.830000 , 0.996758 , 42.225600
0.840000 , 0.998635 , 42.273600
0.850000 , 0.997313 , 42.139200
0.860000 , 0.999188 , 42.128000
0.870000 , 0.999402 , 42.120000
0.880000 , 0.999520 , 42.131200
0.890000 , 0.999663 , 42.096000
0.900000 , 0.999735 , 42.072000
0.910000 , 0.999812 , 42.051200
0.920000 , 0.999889 , 42.049600
0.930000 , 0.999919 , 42.025600
0.940000 , 0.999963 , 42.027200
0.950000 , 0.999981 , 42.016000
0.960000 , 0.999989 , 42.003200
0.970000 , 0.999997 , 42.001600
0.980000 , 0.999997 , 42.000000
0.990000 , 1.000000 , 42.000000
1.000000 , 1.000000 , 42.000000
Firestarter took 19.261749

