Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000072 , 2.028800
0.020000 , 0.000201 , 2.080000
0.030000 , 0.000261 , 2.104000
0.040000 , 0.000413 , 2.148800
0.050000 , 0.000461 , 2.177600
0.060000 , 0.000702 , 2.257600
0.070000 , 0.001015 , 2.372800
0.080000 , 0.001023 , 2.360000
0.090000 , 0.001179 , 2.444800
0.100000 , 0.001488 , 2.497600
0.110000 , 0.001416 , 2.496000
0.120000 , 0.001965 , 2.641600
0.130000 , 0.002382 , 2.804800
0.140000 , 0.002582 , 2.833600
0.150000 , 0.002751 , 2.836800
0.160000 , 0.002867 , 2.876800
0.170000 , 0.003513 , 3.123200
0.180000 , 0.004022 , 3.204800
0.190000 , 0.003942 , 3.174400
0.200000 , 0.004531 , 3.302400
0.210000 , 0.005718 , 3.580800
0.220000 , 0.006155 , 3.641600
0.230000 , 0.005530 , 3.518400
0.240000 , 0.008032 , 4.156800
0.250000 , 0.007270 , 3.883200
0.260000 , 0.008064 , 4.097600
0.270000 , 0.009977 , 4.408000
0.280000 , 0.010823 , 4.537600
0.290000 , 0.013538 , 5.139200
0.300000 , 0.014312 , 5.096000
0.310000 , 0.016806 , 5.574400
0.320000 , 0.019312 , 5.803200
0.330000 , 0.020688 , 6.096000
0.340000 , 0.029373 , 7.270400
0.350000 , 0.028351 , 7.049600
0.360000 , 0.034590 , 8.003200
0.370000 , 0.038292 , 8.201600
0.380000 , 0.052499 , 9.513600
0.390000 , 0.051340 , 9.683200
0.400000 , 0.069546 , 11.089600
0.410000 , 0.079539 , 12.132800
0.420000 , 0.097817 , 13.206400
0.430000 , 0.112630 , 14.347200
0.440000 , 0.128249 , 15.307200
0.450000 , 0.175338 , 18.531200
0.460000 , 0.186554 , 18.844800
0.470000 , 0.231266 , 21.440000
0.480000 , 0.286829 , 23.344000
0.490000 , 0.327154 , 25.248000
0.500000 , 0.364487 , 25.577600
0.510000 , 0.462584 , 29.942400
0.520000 , 0.489187 , 29.500800
0.530000 , 0.530835 , 30.217600
0.540000 , 0.578185 , 30.838400
0.550000 , 0.645622 , 31.921600
0.560000 , 0.703643 , 32.452800
0.570000 , 0.744369 , 31.827200
0.580000 , 0.781682 , 31.192000
0.590000 , 0.799403 , 30.476800
0.600000 , 0.839266 , 30.612800
0.610000 , 0.846115 , 29.371200
0.620000 , 0.879747 , 28.747200
0.630000 , 0.898013 , 28.246400
0.640000 , 0.911723 , 27.563200
0.650000 , 0.914719 , 26.502400
0.660000 , 0.934195 , 26.241600
0.670000 , 0.945632 , 25.704000
0.680000 , 0.951739 , 25.163200
0.690000 , 0.961079 , 24.827200
0.700000 , 0.962979 , 24.393600
0.710000 , 0.969239 , 23.996800
0.720000 , 0.978426 , 23.715200
0.730000 , 0.977728 , 23.502400
0.740000 , 0.978819 , 23.211200
0.750000 , 0.981017 , 22.908800
0.760000 , 0.987256 , 22.872000
0.770000 , 0.992108 , 22.819200
0.780000 , 0.989566 , 22.563200
0.790000 , 0.990709 , 22.606400
0.800000 , 0.995769 , 22.457600
0.810000 , 0.996415 , 22.457600
0.820000 , 0.995276 , 22.339200
0.830000 , 0.994165 , 22.222400
0.840000 , 0.997855 , 22.243200
0.850000 , 0.998412 , 22.195200
0.860000 , 0.998637 , 22.187200
0.870000 , 0.999050 , 22.145600
0.880000 , 0.999238 , 22.086400
0.890000 , 0.999358 , 22.113600
0.900000 , 0.999447 , 22.083200
0.910000 , 0.999715 , 22.057600
0.920000 , 0.999779 , 22.056000
0.930000 , 0.999836 , 22.022400
0.940000 , 0.999900 , 22.017600
0.950000 , 0.999924 , 22.022400
0.960000 , 0.999980 , 22.003200
0.970000 , 0.999996 , 22.006400
0.980000 , 0.999996 , 22.000000
0.990000 , 0.999996 , 22.001600
1.000000 , 1.000000 , 22.000000
Firestarter took 1.842932

