Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000092 , 2.036000
0.020000 , 0.000196 , 2.076600
0.030000 , 0.000317 , 2.120800
0.040000 , 0.000488 , 2.181800
0.050000 , 0.000589 , 2.217400
0.060000 , 0.000725 , 2.266400
0.070000 , 0.000918 , 2.326600
0.080000 , 0.001057 , 2.374400
0.090000 , 0.001232 , 2.431800
0.100000 , 0.001414 , 2.484800
0.110000 , 0.001637 , 2.561400
0.120000 , 0.001943 , 2.645800
0.130000 , 0.002133 , 2.699600
0.140000 , 0.002324 , 2.753600
0.150000 , 0.002642 , 2.852600
0.160000 , 0.003007 , 2.936000
0.170000 , 0.003349 , 3.038800
0.180000 , 0.003737 , 3.120400
0.190000 , 0.004269 , 3.253000
0.200000 , 0.004379 , 3.277400
0.210000 , 0.005227 , 3.484000
0.220000 , 0.005842 , 3.627000
0.230000 , 0.006460 , 3.739600
0.240000 , 0.007213 , 3.905400
0.250000 , 0.008083 , 4.099000
0.260000 , 0.008919 , 4.259400
0.270000 , 0.010055 , 4.452400
0.280000 , 0.011519 , 4.705600
0.290000 , 0.012755 , 4.907400
0.300000 , 0.014574 , 5.231800
0.310000 , 0.016726 , 5.532400
0.320000 , 0.018829 , 5.893800
0.330000 , 0.021966 , 6.239600
0.340000 , 0.025407 , 6.820800
0.350000 , 0.029505 , 7.365600
0.360000 , 0.033145 , 7.747800
0.370000 , 0.040171 , 8.610000
0.380000 , 0.047241 , 9.254600
0.390000 , 0.055160 , 10.001800
0.400000 , 0.065028 , 10.906400
0.410000 , 0.078803 , 12.119200
0.420000 , 0.096261 , 13.484200
0.430000 , 0.111893 , 14.503200
0.440000 , 0.140318 , 16.406800
0.450000 , 0.163843 , 17.653200
0.460000 , 0.190572 , 19.161400
0.470000 , 0.231958 , 21.174600
0.480000 , 0.268901 , 22.674000
0.490000 , 0.321358 , 24.962400
0.500000 , 0.372382 , 26.208000
0.510000 , 0.418164 , 27.735200
0.520000 , 0.476812 , 29.024600
0.530000 , 0.535565 , 30.359400
0.540000 , 0.594965 , 31.299400
0.550000 , 0.641389 , 31.551600
0.560000 , 0.697359 , 32.203800
0.570000 , 0.739868 , 31.819400
0.580000 , 0.768136 , 31.242600
0.590000 , 0.805758 , 30.977000
0.600000 , 0.831190 , 30.420200
0.610000 , 0.863062 , 29.478400
0.620000 , 0.878901 , 28.709200
0.630000 , 0.894839 , 27.958400
0.640000 , 0.914282 , 27.545600
0.650000 , 0.925454 , 26.891400
0.660000 , 0.936314 , 26.215200
0.670000 , 0.946020 , 25.739800
0.680000 , 0.951827 , 25.141200
0.690000 , 0.956314 , 24.608400
0.700000 , 0.963518 , 24.296600
0.710000 , 0.969980 , 24.042600
0.720000 , 0.973676 , 23.825000
0.730000 , 0.975460 , 23.434600
0.740000 , 0.980635 , 23.291200
0.750000 , 0.982653 , 23.033400
0.760000 , 0.985636 , 22.901200
0.770000 , 0.988988 , 22.777200
0.780000 , 0.990633 , 22.645600
0.790000 , 0.992016 , 22.548400
0.800000 , 0.992845 , 22.473600
0.810000 , 0.993987 , 22.424200
0.820000 , 0.994519 , 22.315000
0.830000 , 0.996962 , 22.282400
0.840000 , 0.997461 , 22.230200
0.850000 , 0.997299 , 22.192400
0.860000 , 0.998651 , 22.162800
0.870000 , 0.998749 , 22.131200
0.880000 , 0.998985 , 22.114800
0.890000 , 0.999192 , 22.088400
0.900000 , 0.999351 , 22.070000
0.910000 , 0.999645 , 22.049600
0.920000 , 0.999568 , 22.039800
0.930000 , 0.999835 , 22.032800
0.940000 , 0.999907 , 22.020800
0.950000 , 0.999746 , 22.009800
0.960000 , 0.999969 , 22.006600
0.970000 , 0.999981 , 22.005200
0.980000 , 0.999994 , 22.002000
0.990000 , 0.999998 , 22.000200
1.000000 , 1.000000 , 22.000000
Firestarter took 26.646574

