Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000257 , 2.102400
0.020000 , 0.000196 , 2.078400
0.030000 , 0.000445 , 2.177600
0.040000 , 0.000136 , 2.054400
0.050000 , 0.000762 , 2.304000
0.060000 , 0.000377 , 2.099200
0.070000 , 0.000966 , 2.385600
0.080000 , 0.000505 , 2.201600
0.090000 , 0.001488 , 2.491200
0.100000 , 0.001985 , 2.536000
0.110000 , 0.001865 , 2.744000
0.120000 , 0.001516 , 2.502400
0.130000 , 0.002899 , 2.617600
0.140000 , 0.001917 , 2.638400
0.150000 , 0.001865 , 2.590400
0.160000 , 0.002891 , 2.819200
0.170000 , 0.002991 , 2.985600
0.180000 , 0.003902 , 3.174400
0.190000 , 0.002779 , 2.897600
0.200000 , 0.004984 , 3.316800
0.210000 , 0.004383 , 3.249600
0.220000 , 0.004768 , 3.371200
0.230000 , 0.005510 , 3.488000
0.240000 , 0.009319 , 4.419200
0.250000 , 0.006368 , 3.744000
0.260000 , 0.009744 , 4.678400
0.270000 , 0.014837 , 4.990400
0.280000 , 0.010819 , 4.451200
0.290000 , 0.015611 , 5.316800
0.300000 , 0.014621 , 5.196800
0.310000 , 0.017540 , 6.115200
0.320000 , 0.018306 , 5.897600
0.330000 , 0.013798 , 5.051200
0.340000 , 0.022195 , 6.665600
0.350000 , 0.027689 , 6.323200
0.360000 , 0.040401 , 8.353600
0.370000 , 0.041299 , 8.393600
0.380000 , 0.053281 , 9.568000
0.390000 , 0.054661 , 10.208000
0.400000 , 0.061049 , 10.004800
0.410000 , 0.096008 , 12.761600
0.420000 , 0.122238 , 14.776000
0.430000 , 0.106185 , 13.126400
0.440000 , 0.096906 , 12.764800
0.450000 , 0.144638 , 17.065600
0.460000 , 0.201071 , 18.451200
0.470000 , 0.177031 , 19.633600
0.480000 , 0.233881 , 20.884800
0.490000 , 0.376136 , 26.030400
0.500000 , 0.281636 , 22.825600
0.510000 , 0.480886 , 30.587200
0.520000 , 0.516383 , 30.492800
0.530000 , 0.574208 , 32.158400
0.540000 , 0.651958 , 33.542400
0.550000 , 0.673536 , 31.124800
0.560000 , 0.674001 , 32.156800
0.570000 , 0.684078 , 30.558400
0.580000 , 0.774083 , 32.550400
0.590000 , 0.819898 , 30.665600
0.600000 , 0.857524 , 31.924800
0.610000 , 0.860018 , 30.419200
0.620000 , 0.934003 , 30.233600
0.630000 , 0.861125 , 25.649600
0.640000 , 0.845197 , 24.846400
0.650000 , 0.952088 , 27.684800
0.660000 , 0.922562 , 26.756800
0.670000 , 0.930089 , 26.272000
0.680000 , 0.945420 , 25.345600
0.690000 , 0.946755 , 24.686400
0.700000 , 0.976698 , 24.710400
0.710000 , 0.979092 , 24.924800
0.720000 , 0.983182 , 24.406400
0.730000 , 0.959058 , 23.166400
0.740000 , 0.984958 , 24.038400
0.750000 , 0.989658 , 23.468800
0.760000 , 0.965414 , 22.312000
0.770000 , 0.992032 , 22.984000
0.780000 , 0.993464 , 22.584000
0.790000 , 0.993897 , 22.584000
0.800000 , 0.995200 , 22.688000
0.810000 , 0.996688 , 22.467200
0.820000 , 0.997197 , 22.379200
0.830000 , 0.997606 , 22.280000
0.840000 , 0.998151 , 22.129600
0.850000 , 0.998272 , 22.232000
0.860000 , 0.998897 , 22.310400
0.870000 , 0.998204 , 22.147200
0.880000 , 0.999471 , 22.129600
0.890000 , 0.999126 , 22.096000
0.900000 , 0.999495 , 21.996800
0.910000 , 0.999547 , 21.948800
0.920000 , 0.999864 , 22.027200
0.930000 , 0.999812 , 22.108800
0.940000 , 0.999940 , 22.024000
0.950000 , 1.000000 , 22.000000
0.960000 , 0.999940 , 22.000000
0.970000 , 1.000000 , 22.027200
0.980000 , 1.000000 , 22.000000
0.990000 , 1.000000 , 22.000000
1.000000 , 1.000000 , 22.000000
Firestarter took 0.186379

