Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000064 , 2.025600
0.020000 , 0.000008 , 2.003200
0.030000 , 0.000577 , 2.230400
0.040000 , 0.000509 , 2.203200
0.050000 , 0.000706 , 2.256000
0.060000 , 0.000834 , 2.332800
0.070000 , 0.000714 , 2.284800
0.080000 , 0.001087 , 2.382400
0.090000 , 0.001027 , 2.384000
0.100000 , 0.001472 , 2.561600
0.110000 , 0.001015 , 2.380800
0.120000 , 0.001877 , 2.516800
0.130000 , 0.002683 , 2.737600
0.140000 , 0.001829 , 2.576000
0.150000 , 0.002875 , 3.020800
0.160000 , 0.002181 , 2.689600
0.170000 , 0.002286 , 2.675200
0.180000 , 0.003898 , 3.020800
0.190000 , 0.004752 , 3.398400
0.200000 , 0.004010 , 3.144000
0.210000 , 0.004860 , 3.292800
0.220000 , 0.005562 , 3.444800
0.230000 , 0.004740 , 3.368000
0.240000 , 0.006380 , 3.603200
0.250000 , 0.007378 , 3.913600
0.260000 , 0.013097 , 4.715200
0.270000 , 0.010915 , 4.510400
0.280000 , 0.010659 , 4.510400
0.290000 , 0.012239 , 4.942400
0.300000 , 0.013181 , 5.110400
0.310000 , 0.015134 , 5.480000
0.320000 , 0.014484 , 5.476800
0.330000 , 0.016004 , 5.417600
0.340000 , 0.019160 , 6.043200
0.350000 , 0.036459 , 8.025600
0.360000 , 0.034177 , 7.742400
0.370000 , 0.060680 , 10.164800
0.380000 , 0.038183 , 8.553600
0.390000 , 0.059497 , 10.819200
0.400000 , 0.070596 , 11.264000
0.410000 , 0.091148 , 12.849600
0.420000 , 0.085786 , 13.728000
0.430000 , 0.121772 , 15.286400
0.440000 , 0.107689 , 14.422400
0.450000 , 0.195248 , 21.416000
0.460000 , 0.243421 , 22.044800
0.470000 , 0.252608 , 22.521600
0.480000 , 0.238757 , 20.163200
0.490000 , 0.357089 , 23.977600
0.500000 , 0.345123 , 24.454400
0.510000 , 0.364070 , 24.406400
0.520000 , 0.545243 , 30.924800
0.530000 , 0.550817 , 29.451200
0.540000 , 0.585809 , 31.929600
0.550000 , 0.616545 , 28.500800
0.560000 , 0.722434 , 34.710400
0.570000 , 0.724728 , 33.366400
0.580000 , 0.807599 , 32.070400
0.590000 , 0.831298 , 33.164800
0.600000 , 0.846633 , 31.379200
0.610000 , 0.855170 , 29.996800
0.620000 , 0.898402 , 29.281600
0.630000 , 0.878841 , 27.521600
0.640000 , 0.911759 , 27.368000
0.650000 , 0.903611 , 26.312000
0.660000 , 0.922951 , 25.670400
0.670000 , 0.915621 , 25.763200
0.680000 , 0.962879 , 25.798400
0.690000 , 0.974849 , 24.411200
0.700000 , 0.975451 , 24.604800
0.710000 , 0.978342 , 24.761600
0.720000 , 0.962053 , 23.476800
0.730000 , 0.985247 , 23.926400
0.740000 , 0.988134 , 23.718400
0.750000 , 0.965899 , 23.009600
0.760000 , 0.990901 , 22.817600
0.770000 , 0.993696 , 22.753600
0.780000 , 0.992541 , 22.544000
0.790000 , 0.995232 , 22.486400
0.800000 , 0.994141 , 22.366400
0.810000 , 0.996279 , 22.403200
0.820000 , 0.995982 , 22.190400
0.830000 , 0.998428 , 22.568000
0.840000 , 0.997153 , 22.272000
0.850000 , 0.998204 , 22.248000
0.860000 , 0.998665 , 22.136000
0.870000 , 0.999190 , 22.147200
0.880000 , 0.999014 , 22.104000
0.890000 , 0.999419 , 22.128000
0.900000 , 0.999719 , 22.148800
0.910000 , 0.999743 , 22.073600
0.920000 , 0.999695 , 22.054400
0.930000 , 0.999691 , 22.001600
0.940000 , 0.999812 , 22.000000
0.950000 , 0.999940 , 22.000000
0.960000 , 1.000000 , 22.000000
0.970000 , 0.999996 , 22.001600
0.980000 , 1.000000 , 22.000000
0.990000 , 1.000000 , 22.000000
1.000000 , 1.000000 , 22.000000
Firestarter took 0.313757

