Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000000 , 2.000000
0.020000 , 0.000008 , 2.051200
0.030000 , 0.000016 , 2.102400
0.040000 , 0.000028 , 2.177600
0.050000 , 0.000037 , 2.233600
0.060000 , 0.000052 , 2.305600
0.070000 , 0.000033 , 2.211200
0.080000 , 0.000103 , 2.609600
0.090000 , 0.000060 , 2.382400
0.100000 , 0.000108 , 2.606400
0.110000 , 0.000098 , 2.502400
0.120000 , 0.000131 , 2.683200
0.130000 , 0.000066 , 2.368000
0.140000 , 0.000137 , 2.772800
0.150000 , 0.000181 , 2.971200
0.160000 , 0.000182 , 2.883200
0.170000 , 0.000247 , 3.227200
0.180000 , 0.000289 , 3.288000
0.190000 , 0.000151 , 2.753600
0.200000 , 0.000356 , 3.697600
0.210000 , 0.000253 , 3.065600
0.220000 , 0.000441 , 3.812800
0.230000 , 0.000453 , 3.952000
0.240000 , 0.000460 , 3.851200
0.250000 , 0.000727 , 4.718400
0.260000 , 0.000588 , 4.488000
0.270000 , 0.000587 , 4.568000
0.280000 , 0.000476 , 4.036800
0.290000 , 0.000634 , 4.680000
0.300000 , 0.001133 , 5.777600
0.310000 , 0.000882 , 5.579200
0.320000 , 0.001321 , 6.494400
0.330000 , 0.000951 , 5.601600
0.340000 , 0.001708 , 6.742400
0.350000 , 0.001787 , 7.332800
0.360000 , 0.001877 , 7.358400
0.370000 , 0.001350 , 6.497600
0.380000 , 0.002600 , 8.851200
0.390000 , 0.004243 , 10.987200
0.400000 , 0.006270 , 13.249600
0.410000 , 0.006987 , 15.568000
0.420000 , 0.006818 , 14.609600
0.430000 , 0.014291 , 22.736000
0.440000 , 0.011961 , 19.680000
0.450000 , 0.028038 , 34.715200
0.460000 , 0.037163 , 36.472000
0.470000 , 0.065675 , 50.673600
0.480000 , 0.113241 , 66.168000
0.490000 , 0.211960 , 94.190400
0.500000 , 0.287933 , 111.052800
0.510000 , 0.414124 , 129.155200
0.520000 , 0.558975 , 138.612800
0.530000 , 0.657904 , 143.321600
0.540000 , 0.642576 , 114.656000
0.550000 , 0.743632 , 110.504000
0.560000 , 0.822734 , 113.491200
0.570000 , 0.865757 , 106.320000
0.580000 , 0.840371 , 97.473600
0.590000 , 0.923384 , 100.419200
0.600000 , 0.886887 , 92.803200
0.610000 , 0.895203 , 91.555200
0.620000 , 0.901759 , 87.272000
0.630000 , 0.956777 , 90.560000
0.640000 , 0.912698 , 84.894400
0.650000 , 0.919221 , 82.835200
0.660000 , 0.950883 , 84.617600
0.670000 , 0.977525 , 86.649600
0.680000 , 0.977881 , 85.219200
0.690000 , 0.983825 , 84.558400
0.700000 , 0.962219 , 82.219200
0.710000 , 0.988179 , 83.672000
0.720000 , 0.988734 , 83.401600
0.730000 , 0.989910 , 83.724800
0.740000 , 0.967556 , 81.100800
0.750000 , 0.970075 , 80.878400
0.760000 , 0.994894 , 82.907200
0.770000 , 0.994181 , 82.734400
0.780000 , 0.996318 , 82.660800
0.790000 , 0.996957 , 82.844800
0.800000 , 0.997580 , 82.273600
0.810000 , 0.998141 , 82.419200
0.820000 , 0.998404 , 82.294400
0.830000 , 0.997086 , 81.984000
0.840000 , 0.998986 , 82.203200
0.850000 , 0.999146 , 82.185600
0.860000 , 0.999316 , 82.084800
0.870000 , 0.999568 , 82.134400
0.880000 , 0.999666 , 82.073600
0.890000 , 0.999761 , 82.150400
0.900000 , 0.999868 , 82.056000
0.910000 , 0.999910 , 82.024000
0.920000 , 0.999951 , 82.100800
0.930000 , 0.999959 , 82.049600
0.940000 , 0.999974 , 82.024000
0.950000 , 0.999986 , 82.001600
0.960000 , 0.999999 , 82.024000
0.970000 , 0.999992 , 81.979200
0.980000 , 1.000000 , 82.022400
0.990000 , 1.000000 , 82.000000
1.000000 , 1.000000 , 82.000000
Firestarter took 7.995417

