Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000064 , 2.025600
0.020000 , 0.000241 , 2.096000
0.030000 , 0.000465 , 2.174400
0.040000 , 0.000401 , 2.148800
0.050000 , 0.000501 , 2.188800
0.060000 , 0.000718 , 2.257600
0.070000 , 0.000918 , 2.336000
0.080000 , 0.000902 , 2.318400
0.090000 , 0.001167 , 2.411200
0.100000 , 0.001436 , 2.488000
0.110000 , 0.001476 , 2.500800
0.120000 , 0.001744 , 2.582400
0.130000 , 0.002153 , 2.686400
0.140000 , 0.002390 , 2.768000
0.150000 , 0.002755 , 2.888000
0.160000 , 0.003136 , 2.984000
0.170000 , 0.003405 , 3.059200
0.180000 , 0.003429 , 3.044800
0.190000 , 0.003761 , 3.136000
0.200000 , 0.005169 , 3.486400
0.210000 , 0.005594 , 3.542400
0.220000 , 0.005301 , 3.513600
0.230000 , 0.006384 , 3.731200
0.240000 , 0.007350 , 3.896000
0.250000 , 0.007940 , 4.060800
0.260000 , 0.008890 , 4.260800
0.270000 , 0.008934 , 4.240000
0.280000 , 0.011304 , 4.700800
0.290000 , 0.013610 , 5.038400
0.300000 , 0.015094 , 5.363200
0.310000 , 0.016481 , 5.553600
0.320000 , 0.019088 , 5.912000
0.330000 , 0.021766 , 6.252800
0.340000 , 0.022520 , 6.260800
0.350000 , 0.029189 , 7.134400
0.360000 , 0.034338 , 8.116800
0.370000 , 0.042133 , 8.716800
0.380000 , 0.046540 , 9.420800
0.390000 , 0.052952 , 9.678400
0.400000 , 0.069807 , 11.168000
0.410000 , 0.085634 , 12.896000
0.420000 , 0.092403 , 13.100800
0.430000 , 0.118412 , 15.132800
0.440000 , 0.130727 , 15.712000
0.450000 , 0.157722 , 17.441600
0.460000 , 0.180082 , 18.241600
0.470000 , 0.236407 , 21.484800
0.480000 , 0.273821 , 23.560000
0.490000 , 0.322907 , 24.870400
0.500000 , 0.384561 , 27.201600
0.510000 , 0.429803 , 28.507200
0.520000 , 0.496577 , 30.240000
0.530000 , 0.545520 , 30.385600
0.540000 , 0.583483 , 31.102400
0.550000 , 0.635064 , 31.865600
0.560000 , 0.679310 , 32.193600
0.570000 , 0.736225 , 31.588800
0.580000 , 0.773494 , 31.553600
0.590000 , 0.821526 , 31.292800
0.600000 , 0.853530 , 30.083200
0.610000 , 0.859084 , 29.716800
0.620000 , 0.869999 , 28.563200
0.630000 , 0.904160 , 28.676800
0.640000 , 0.916836 , 27.329600
0.650000 , 0.929865 , 27.030400
0.660000 , 0.942107 , 26.374400
0.670000 , 0.938799 , 25.713600
0.680000 , 0.957562 , 25.203200
0.690000 , 0.959086 , 24.640000
0.700000 , 0.961063 , 24.251200
0.710000 , 0.959968 , 23.803200
0.720000 , 0.980387 , 23.854400
0.730000 , 0.978879 , 23.483200
0.740000 , 0.987348 , 23.398400
0.750000 , 0.984698 , 23.246400
0.760000 , 0.980940 , 22.856000
0.770000 , 0.990059 , 22.894400
0.780000 , 0.988331 , 22.576000
0.790000 , 0.992413 , 22.585600
0.800000 , 0.992060 , 22.393600
0.810000 , 0.996138 , 22.377600
0.820000 , 0.996892 , 22.356800
0.830000 , 0.997474 , 22.316800
0.840000 , 0.998019 , 22.246400
0.850000 , 0.998244 , 22.172800
0.860000 , 0.998625 , 22.195200
0.870000 , 0.999066 , 22.147200
0.880000 , 0.999246 , 22.100800
0.890000 , 0.999463 , 22.099200
0.900000 , 0.999583 , 22.060800
0.910000 , 0.999679 , 22.072000
0.920000 , 0.999804 , 22.036800
0.930000 , 0.999816 , 22.016000
0.940000 , 0.999880 , 22.004800
0.950000 , 0.999928 , 22.017600
0.960000 , 0.999984 , 22.001600
0.970000 , 0.999980 , 22.006400
0.980000 , 1.000000 , 22.000000
0.990000 , 1.000000 , 22.000000
1.000000 , 1.000000 , 22.000000
Firestarter took 3.546248

