Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000016 , 2.025600
0.020000 , 0.000092 , 2.147200
0.030000 , 0.000060 , 2.096000
0.040000 , 0.000112 , 2.172800
0.050000 , 0.000180 , 2.256000
0.060000 , 0.000139 , 2.192000
0.070000 , 0.000285 , 2.411200
0.080000 , 0.000207 , 2.324800
0.090000 , 0.000285 , 2.411200
0.100000 , 0.000372 , 2.544000
0.110000 , 0.000464 , 2.627200
0.120000 , 0.000522 , 2.656000
0.130000 , 0.000523 , 2.724800
0.140000 , 0.000622 , 2.771200
0.150000 , 0.000597 , 2.787200
0.160000 , 0.000781 , 2.995200
0.170000 , 0.000865 , 3.001600
0.180000 , 0.000902 , 3.083200
0.190000 , 0.000915 , 3.166400
0.200000 , 0.001179 , 3.380800
0.210000 , 0.001514 , 3.737600
0.220000 , 0.001372 , 3.499200
0.230000 , 0.001562 , 3.657600
0.240000 , 0.001890 , 3.921600
0.250000 , 0.001782 , 3.883200
0.260000 , 0.002449 , 4.406400
0.270000 , 0.002574 , 4.627200
0.280000 , 0.002437 , 4.384000
0.290000 , 0.002967 , 4.694400
0.300000 , 0.003841 , 5.353600
0.310000 , 0.004271 , 5.571200
0.320000 , 0.004359 , 5.644800
0.330000 , 0.004613 , 5.662400
0.340000 , 0.005868 , 6.454400
0.350000 , 0.007590 , 7.376000
0.360000 , 0.008950 , 8.212800
0.370000 , 0.009189 , 8.169600
0.380000 , 0.013807 , 9.857600
0.390000 , 0.017733 , 11.273600
0.400000 , 0.019124 , 12.529600
0.410000 , 0.025046 , 14.081600
0.420000 , 0.030657 , 15.588800
0.430000 , 0.047027 , 19.339200
0.440000 , 0.061450 , 23.422400
0.450000 , 0.070616 , 24.092800
0.460000 , 0.102815 , 29.358400
0.470000 , 0.124088 , 32.828800
0.480000 , 0.200878 , 42.736000
0.490000 , 0.259187 , 47.888000
0.500000 , 0.316319 , 50.923200
0.510000 , 0.398931 , 56.187200
0.520000 , 0.470567 , 59.969600
0.530000 , 0.582439 , 64.302400
0.540000 , 0.623749 , 65.144000
0.550000 , 0.739941 , 66.179200
0.560000 , 0.758496 , 62.179200
0.570000 , 0.781460 , 57.288000
0.580000 , 0.837037 , 56.996800
0.590000 , 0.865586 , 55.574400
0.600000 , 0.847347 , 51.206400
0.610000 , 0.887035 , 49.977600
0.620000 , 0.904864 , 49.508800
0.630000 , 0.931841 , 49.313600
0.640000 , 0.928725 , 46.982400
0.650000 , 0.931680 , 46.224000
0.660000 , 0.946713 , 45.769600
0.670000 , 0.965871 , 45.585600
0.680000 , 0.968740 , 45.185600
0.690000 , 0.975740 , 44.870400
0.700000 , 0.977990 , 44.204800
0.710000 , 0.979341 , 44.060800
0.720000 , 0.977915 , 43.403200
0.730000 , 0.984520 , 43.318400
0.740000 , 0.984479 , 42.948800
0.750000 , 0.990530 , 42.822400
0.760000 , 0.991973 , 42.857600
0.770000 , 0.993028 , 42.867200
0.780000 , 0.993905 , 42.630400
0.790000 , 0.994590 , 42.576000
0.800000 , 0.992125 , 42.243200
0.810000 , 0.997566 , 42.326400
0.820000 , 0.997984 , 42.374400
0.830000 , 0.998142 , 42.280000
0.840000 , 0.998741 , 42.198400
0.850000 , 0.999033 , 42.195200
0.860000 , 0.999270 , 42.158400
0.870000 , 0.999338 , 42.214400
0.880000 , 0.999546 , 42.108800
0.890000 , 0.999660 , 42.105600
0.900000 , 0.999779 , 42.076800
0.910000 , 0.999792 , 42.025600
0.920000 , 0.999882 , 42.028800
0.930000 , 0.999942 , 42.017600
0.940000 , 0.999951 , 42.024000
0.950000 , 0.999978 , 42.020800
0.960000 , 0.999984 , 42.014400
0.970000 , 0.999995 , 42.009600
0.980000 , 1.000000 , 42.004800
0.990000 , 1.000000 , 42.000000
1.000000 , 1.000000 , 42.000000
Firestarter took 4.984633

