Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000007 , 2.041600
0.020000 , 0.000017 , 2.102400
0.030000 , 0.000021 , 2.128000
0.040000 , 0.000029 , 2.179200
0.050000 , 0.000039 , 2.228800
0.060000 , 0.000047 , 2.276800
0.070000 , 0.000056 , 2.316800
0.080000 , 0.000069 , 2.390400
0.090000 , 0.000078 , 2.430400
0.100000 , 0.000083 , 2.459200
0.110000 , 0.000097 , 2.528000
0.120000 , 0.000121 , 2.652800
0.130000 , 0.000124 , 2.643200
0.140000 , 0.000145 , 2.763200
0.150000 , 0.000159 , 2.819200
0.160000 , 0.000203 , 2.993600
0.170000 , 0.000179 , 2.888000
0.180000 , 0.000238 , 3.140800
0.190000 , 0.000287 , 3.364800
0.200000 , 0.000285 , 3.324800
0.210000 , 0.000320 , 3.467200
0.220000 , 0.000387 , 3.648000
0.230000 , 0.000382 , 3.688000
0.240000 , 0.000476 , 3.961600
0.250000 , 0.000468 , 3.971200
0.260000 , 0.000551 , 4.268800
0.270000 , 0.000555 , 4.236800
0.280000 , 0.000704 , 4.643200
0.290000 , 0.000891 , 5.092800
0.300000 , 0.000923 , 5.211200
0.310000 , 0.001006 , 5.438400
0.320000 , 0.001287 , 6.022400
0.330000 , 0.001397 , 6.321600
0.340000 , 0.001588 , 6.843200
0.350000 , 0.001793 , 7.254400
0.360000 , 0.002070 , 7.814400
0.370000 , 0.002969 , 9.409600
0.380000 , 0.003053 , 9.337600
0.390000 , 0.003884 , 10.798400
0.400000 , 0.004673 , 11.848000
0.410000 , 0.006899 , 14.708800
0.420000 , 0.007113 , 14.785600
0.430000 , 0.011392 , 19.755200
0.440000 , 0.016382 , 24.057600
0.450000 , 0.022196 , 27.731200
0.460000 , 0.037768 , 37.534400
0.470000 , 0.060384 , 48.822400
0.480000 , 0.100875 , 64.736000
0.490000 , 0.190212 , 88.784000
0.500000 , 0.268827 , 104.448000
0.510000 , 0.381607 , 117.777600
0.520000 , 0.528884 , 134.467200
0.530000 , 0.634090 , 130.472000
0.540000 , 0.692301 , 120.572800
0.550000 , 0.745944 , 113.968000
0.560000 , 0.791025 , 106.881600
0.570000 , 0.814183 , 101.174400
0.580000 , 0.856323 , 99.144000
0.590000 , 0.862048 , 93.796800
0.600000 , 0.895715 , 93.382400
0.610000 , 0.916064 , 91.824000
0.620000 , 0.912963 , 88.721600
0.630000 , 0.925756 , 87.360000
0.640000 , 0.941803 , 86.953600
0.650000 , 0.945010 , 85.964800
0.660000 , 0.955440 , 85.169600
0.670000 , 0.960220 , 84.534400
0.680000 , 0.969770 , 84.540800
0.690000 , 0.967761 , 83.657600
0.700000 , 0.970124 , 83.024000
0.710000 , 0.973710 , 82.856000
0.720000 , 0.983391 , 83.112000
0.730000 , 0.981796 , 82.646400
0.740000 , 0.987831 , 82.875200
0.750000 , 0.982620 , 82.168000
0.760000 , 0.991454 , 82.676800
0.770000 , 0.990878 , 82.377600
0.780000 , 0.994750 , 82.580800
0.790000 , 0.995386 , 82.446400
0.800000 , 0.995947 , 82.340800
0.810000 , 0.994830 , 82.148800
0.820000 , 0.998414 , 82.313600
0.830000 , 0.997147 , 82.142400
0.840000 , 0.997388 , 82.147200
0.850000 , 0.999217 , 82.182400
0.860000 , 0.999380 , 82.161600
0.870000 , 0.999537 , 82.108800
0.880000 , 0.999653 , 82.126400
0.890000 , 0.999757 , 82.094400
0.900000 , 0.999831 , 82.068800
0.910000 , 0.999886 , 82.054400
0.920000 , 0.999925 , 82.041600
0.930000 , 0.999953 , 82.027200
0.940000 , 0.999972 , 82.019200
0.950000 , 0.999984 , 82.014400
0.960000 , 0.999993 , 82.004800
0.970000 , 0.999997 , 82.000000
0.980000 , 0.999999 , 82.001600
0.990000 , 1.000000 , 82.000000
1.000000 , 1.000000 , 82.000000
Firestarter took 118.246859

