Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000007 , 2.046800
0.020000 , 0.000013 , 2.080800
0.030000 , 0.000023 , 2.137200
0.040000 , 0.000030 , 2.177600
0.050000 , 0.000037 , 2.221200
0.060000 , 0.000046 , 2.266000
0.070000 , 0.000054 , 2.312000
0.080000 , 0.000068 , 2.386000
0.090000 , 0.000078 , 2.440800
0.100000 , 0.000084 , 2.472000
0.110000 , 0.000097 , 2.530000
0.120000 , 0.000120 , 2.645600
0.130000 , 0.000131 , 2.692800
0.140000 , 0.000142 , 2.742800
0.150000 , 0.000163 , 2.839200
0.160000 , 0.000178 , 2.897200
0.170000 , 0.000201 , 2.998000
0.180000 , 0.000239 , 3.161200
0.190000 , 0.000262 , 3.228000
0.200000 , 0.000293 , 3.349200
0.210000 , 0.000338 , 3.496000
0.220000 , 0.000352 , 3.553200
0.230000 , 0.000376 , 3.652400
0.240000 , 0.000456 , 3.919200
0.250000 , 0.000527 , 4.145600
0.260000 , 0.000562 , 4.261200
0.270000 , 0.000656 , 4.590400
0.280000 , 0.000695 , 4.601200
0.290000 , 0.000791 , 4.894800
0.300000 , 0.000920 , 5.304400
0.310000 , 0.001070 , 5.639600
0.320000 , 0.001200 , 5.971600
0.330000 , 0.001360 , 6.334800
0.340000 , 0.001568 , 6.781600
0.350000 , 0.001848 , 7.296000
0.360000 , 0.002150 , 7.938000
0.370000 , 0.002669 , 8.785600
0.380000 , 0.003287 , 9.834400
0.390000 , 0.004108 , 11.077600
0.400000 , 0.004888 , 12.155600
0.410000 , 0.006528 , 14.210800
0.420000 , 0.008306 , 16.048800
0.430000 , 0.011412 , 19.222000
0.440000 , 0.016589 , 23.873600
0.450000 , 0.024548 , 29.496800
0.460000 , 0.038443 , 37.996400
0.470000 , 0.059414 , 47.366800
0.480000 , 0.103602 , 66.081200
0.490000 , 0.177951 , 85.947600
0.500000 , 0.270116 , 104.231200
0.510000 , 0.409980 , 125.702800
0.520000 , 0.534571 , 134.151200
0.530000 , 0.616264 , 126.097200
0.540000 , 0.692889 , 119.903600
0.550000 , 0.750030 , 113.371600
0.560000 , 0.793773 , 107.744400
0.570000 , 0.820622 , 101.669600
0.580000 , 0.849747 , 98.441200
0.590000 , 0.879253 , 95.769600
0.600000 , 0.886606 , 91.976400
0.610000 , 0.904063 , 90.596800
0.620000 , 0.912384 , 88.802800
0.630000 , 0.928835 , 87.810000
0.640000 , 0.940437 , 86.860800
0.650000 , 0.947007 , 85.869200
0.660000 , 0.955340 , 85.234400
0.670000 , 0.959287 , 84.339200
0.680000 , 0.961868 , 83.812800
0.690000 , 0.970578 , 83.712800
0.700000 , 0.973984 , 83.356400
0.710000 , 0.977953 , 83.207600
0.720000 , 0.980563 , 83.034000
0.730000 , 0.983708 , 82.880000
0.740000 , 0.988632 , 82.950800
0.750000 , 0.988577 , 82.646000
0.760000 , 0.990798 , 82.612800
0.770000 , 0.992049 , 82.522400
0.780000 , 0.995586 , 82.621200
0.790000 , 0.993451 , 82.282000
0.800000 , 0.993974 , 82.171600
0.810000 , 0.997209 , 82.342000
0.820000 , 0.997201 , 82.251200
0.830000 , 0.997932 , 82.220800
0.840000 , 0.997796 , 82.129600
0.850000 , 0.999226 , 82.215200
0.860000 , 0.999398 , 82.170400
0.870000 , 0.999150 , 82.103600
0.880000 , 0.999668 , 82.108000
0.890000 , 0.999756 , 82.095600
0.900000 , 0.999832 , 82.080400
0.910000 , 0.999487 , 82.014000
0.920000 , 0.999925 , 82.038400
0.930000 , 0.999956 , 82.034800
0.940000 , 0.999976 , 82.016000
0.950000 , 0.999987 , 82.013200
0.960000 , 0.999993 , 82.009200
0.970000 , 0.999998 , 82.003600
0.980000 , 0.999999 , 82.002000
0.990000 , 1.000000 , 82.000400
1.000000 , 1.000000 , 82.000000
Firestarter took 473.034588

